frame_id,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,refined_east,refined_north,refined_alt,refined_yaw,selected_method,init_xy_error_m,refined_xy_error_m,selected_xy_error_m,init_alt_error_m,refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,refined_chamfer,gt_chamfer,init_overlap,refined_overlap,gt_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,safe_gate_accepted,refine_success,renderer_backend_init,renderer_backend_refined,renderer_backend_gt,corrected_refined_downward_yaw,corrected_yaw_error_deg,elapsed_ms,raw_refined_yaw,raw_yaw_error_deg,renderer_fallback_gt,renderer_fallback_init,renderer_fallback_refined,selected_alt,selected_east,selected_north,selected_yaw
000000.jpg,254476.43692124507,3364552.994355502,109.956,29.19999999999999,254476.53949200793,3364557.073594403,111.18,28.179385999999994,254472.73831786687,3364558.955059821,111.36913006566465,-152.84034801429718,init,4.08052824670161,7.01495993747442,4.08052824670161,1.2240000000000038,1.413130065664646,1.2240000000000038,1.0206139999999948,177.95965198570286,1.0206139999999948,0.9393740892410278,0.9934185147285461,0.05480720475316048,0.8440766706711373,0.8284233741550268,0.9912320022950996,0.003155911690555513,0.004974645019198458,-0.0018187333286429448,False,True,prototype,prototype,prototype,27.159651985702823,2.040348014297166,2277.2924550000084,-152.84034801429718,177.95965198570286,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',111.18,254476.53949200793,3364557.073594403,28.179385999999994
000001.jpg,254476.92477416995,3364553.8672732455,110.231,29.19999999999999,254476.03086971297,3364552.285125038,110.8,29.087871000000007,254477.6993564563,3364551.9473616746,110.97396087646484,-151.02272968680728,init,1.8172116355129764,2.070274899180827,1.8172116355129764,0.5690000000000026,0.7429608764648492,0.5690000000000026,0.11212899999998172,179.77727031319273,0.11212899999998172,0.8673178553581238,0.8403268456459045,0.0537356473505497,0.8922004824443849,0.8838917180380595,0.9909407665505227,0.0012718576666278143,0.001516126232066502,-0.0002442685654386878,False,True,prototype,prototype,prototype,28.97727031319272,0.2227296868072699,125.58720600000584,-151.02272968680728,179.77727031319273,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',110.8,254476.03086971297,3364552.285125038,29.087871000000007
000002.jpg,254477.4126366352,3364554.740190791,109.979,29.19999999999999,254479.65329464382,3364549.1982149333,111.546,29.007136000000003,254482.84230900044,3364544.2231763126,111.76489051245153,-151.18419577291874,temporal_predicted,5.977795975003348,11.835917181660722,1.817208970187993,1.5670000000000073,1.7858905124515303,0.5695790000000045,0.19286399999998594,179.6158042270813,0.11212899999998172,0.9503520727157593,0.986121416091919,0.0648108720779419,0.8331758118301621,0.8257396080389464,0.9877668206216452,0.004299301576490204,0.00718278344720602,-0.0028834818707158165,True,True,prototype,prototype,prototype,28.81580422708126,0.38419577291872997,125.83173100000522,-151.18419577291874,179.6158042270813,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',110.548579,254476.51872971238,3364553.158047038,29.087871000000007
000003.jpg,254477.90049927725,3364555.6131194406,109.536,29.19999999999999,254479.94162956064,3364555.2034170134,109.157,30.12621999999999,254479.12003441408,3364553.1289835707,109.18614391703159,-148.94786061293868,temporal_predicted,2.081842672395745,2.76734475084601,1.817216059639849,0.3790000000000049,0.3498560829684152,0.5698579999999964,0.9262200000000007,178.14786061293867,0.11212899999998172,0.8899412155151367,0.9493932127952576,0.05130583047866821,0.8651033742056744,0.8363734001611026,0.9921596706345654,0.002163318529104193,0.0037067418452352285,-0.0015434233161310353,True,True,prototype,prototype,prototype,31.052139387061317,1.852139387061328,126.41719800001283,-148.94786061293868,178.14786061293867,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',110.105858,254477.00658971255,3364554.0309690377,29.087871000000007
000004.jpg,254478.38835198412,3364556.486037237,109.094,29.19999999999999,254480.86189791223,3364555.8784438665,108.941,30.57139699999999,254479.8451671854,3364553.3948720493,108.82957240752876,-148.05174411605324,temporal_predicted,2.5470765913995095,3.4172522220045582,1.8172088123925034,0.1529999999999916,0.26442759247123604,0.5696750000000037,1.3713970000000018,177.25174411605323,0.11212899999998172,0.9245753884315491,0.9753314852714539,0.05716824531555176,0.8471458811391572,0.8296422790259175,0.9897362007933543,0.0030920631058203676,0.005155097809620202,-0.002063034703799834,True,True,prototype,prototype,prototype,31.948255883946757,2.7482558839467686,116.99885900003437,-148.05174411605324,177.25174411605323,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',109.663675,254477.49444971234,3364554.9038910377,29.087871000000007
000005.jpg,254478.87621448273,3364557.358965922,108.652,29.19999999999999,254476.26519601344,3364552.815815422,109.047,27.858868,254481.4483689493,3364552.2688418315,109.01435540057719,-153.48369501542197,temporal_predicted,5.240003235877206,5.703099320389642,1.817215861993646,0.394999999999996,0.3623554005771865,0.5698309999999935,1.3411319999999876,177.31630498457804,0.11212899999998172,0.968603253364563,0.9604068994522095,0.0588674321770668,0.8312979825031245,0.8323513658275308,0.9900910551687199,0.004578313169380029,0.005603308789432049,-0.00102499562005202,True,True,prototype,prototype,prototype,26.516304984578028,2.6836950154219608,114.82381500002248,-153.48369501542197,177.31630498457804,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',109.221831,254477.98230971274,3364555.776813037,29.087871000000007
000006.jpg,254479.36407665766,3364558.231883538,108.413,29.19999999999999,254473.60305762038,3364555.78972327,107.946,26.813594999999992,254479.06278170395,3364558.7479433445,108.05350673943758,-155.57471616729936,temporal_predicted,6.257274735997921,0.5975754120504777,1.8172131148756787,0.46699999999999875,0.3594932605624166,0.5696650000000005,2.3864049999999963,175.22528383270065,0.11212899999998172,1.0071680545806885,0.9915870428085327,0.05489911884069443,0.8196243580858965,0.8239600547292855,0.9909199139968371,0.005808916408568621,0.007296660138914983,-0.001487743730346362,True,True,prototype,prototype,prototype,24.425283832700643,4.774716167299346,111.74419900004295,-155.57471616729936,175.22528383270065,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',108.982665,254478.47016971253,3364556.6497350372,29.087871000000007
000007.jpg,254479.85193876142,3364559.104801173,108.167,29.19999999999999,254475.37454710572,3364559.214718537,109.064,28.733735999999993,254477.79623414896,3364562.686641686,109.01232519652694,-151.73496227618676,temporal_predicted,4.478740656197932,4.129830858064145,1.817210349976763,0.8969999999999914,0.845325196526943,0.5690389999999894,0.46626399999999535,179.06503772381325,0.11212899999998172,0.9941924810409546,0.9200338125228882,0.05877966433763504,0.8185067232837934,0.8537508846426044,0.989897381457891,0.0032334491067255535,0.0029374325337509313,0.00029601657297462225,True,True,prototype,prototype,prototype,28.265037723813236,0.9349622761867522,117.21356600003219,-151.73496227618676,179.06503772381325,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',108.73603899999999,254478.95802971194,3364557.522657037,29.087871000000007
000008.jpg,254480.3397914293,3364559.977730127,108.096,29.19999999999999,254478.10900810472,3364561.132706504,108.813,28.59997899999999,254478.04658789892,3364563.413766805,109.00360284559429,-152.0021920438614,init,2.512043923212948,4.130996306517921,2.512043923212948,0.7169999999999987,0.9076028455942833,0.7169999999999987,0.6000209999999981,178.79780795613863,0.6000209999999981,0.8452165126800537,0.9129374027252197,0.05624542757868767,0.8749600369436255,0.8546055202301872,0.991137082164044,0.0018686540618849297,0.0031655380153097212,-0.0012968839534247916,False,True,prototype,prototype,prototype,27.997807956138587,1.2021920438614018,119.25384400001349,-152.0021920438614,178.79780795613863,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',108.813,254478.10900810472,3364561.132706504,28.59997899999999
000009.jpg,254480.82765338855,3364560.850647796,108.107,29.19999999999999,254482.4616538305,3364563.9792714324,107.9,27.572969,254478.50217864863,3364564.336195527,108.0614648712799,-154.0521995669284,temporal_predicted,3.529623677223757,4.190092570842369,2.512047653666242,0.20699999999999363,0.04553512872010401,0.7168570000000045,1.6270309999999881,176.74780043307157,0.6000209999999981,0.9382580518722534,0.9782610535621643,0.05629318207502365,0.842282648973902,0.8291542411462652,0.9906477739937534,0.0036237976358582578,0.0059668240913500386,-0.002343026455491781,True,True,prototype,prototype,prototype,25.947800433071592,3.2521995669283967,110.06743900003357,-154.0521995669284,176.74780043307157,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',108.823857,254478.59686810512,3364562.005628503,28.59997899999999
