frame_id,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,refined_east,refined_north,refined_alt,refined_yaw,selected_method,init_xy_error_m,refined_xy_error_m,selected_xy_error_m,init_alt_error_m,refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,refined_chamfer,gt_chamfer,init_overlap,refined_overlap,gt_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,safe_gate_accepted,refine_success,renderer_backend_init,renderer_backend_refined,renderer_backend_gt,alt,chamfer,east,final_gate_pass,method,north,overlap,pose_gate_pass,pose_gate_reason,score,selected,temporal_gate_pass,temporal_gate_reason,visual_gate_pass,visual_gate_reason,xy_error_m,yaw,yaw_error_deg
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18,0.9393740892410278,254476.53949200793,True,init,3364557.073594403,0.8440766706711373,True,disabled,1.1559233293288627,True,True,disabled,True,init,4.08052824670161,28.179385999999994,1.0206139999999948
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.36913006566465,0.9934185147285461,254472.73831786687,False,raw_refined_full,3364558.955059821,0.8284233741550268,False,pose_yaw_jump,5.053377876210815,False,True,no_prediction,True,ok,7.01495993747442,-152.84034801429718,177.95965198570286
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.36913006566465,0.9903595447540283,254472.73831786687,True,refined_corrected_yaw,3364558.955059821,0.8280109734449803,True,ok,1.4625085401528513,False,True,no_prediction,True,ok,7.01495993747442,27.159651985702823,2.040348014297166
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18,0.9903595447540283,254472.73831786687,True,refined_freeze_alt_corrected_yaw,3364558.955059821,0.8280109734449803,True,ok,1.4587259388395584,False,True,no_prediction,True,ok,7.01495993747442,27.159651985702823,2.040348014297166
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18,0.978553056716919,254472.73831786687,True,refined_freeze_alt_init_yaw,3364558.955059821,0.828997149055961,True,ok,1.4247766204181376,False,True,no_prediction,True,ok,7.01495993747442,28.179385999999994,1.0206139999999948
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8,0.8673178553581238,254476.03086971297,True,init,3364552.285125038,0.8922004824443849,True,disabled,1.4133902030161314,True,True,disabled,True,init,1.8172116355129764,29.087871000000007,0.11212899999998172
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.97396087646484,0.8403268456459045,254477.6993564563,False,raw_refined_full,3364551.9473616746,0.8838917180380595,False,pose_yaw_jump,8.666850864287023,False,False,temporal_xy,True,ok,2.070274899180827,-151.02272968680728,179.77727031319273
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.97396087646484,0.8366158604621887,254477.6993564563,False,refined_corrected_yaw,3364551.9473616746,0.8867863843473599,True,ok,1.4864140805668455,False,False,temporal_xy,True,ok,2.070274899180827,28.97727031319272,0.2227296868072699
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8,0.8366084694862366,254477.6993564563,False,refined_freeze_alt_corrected_yaw,3364551.947361674,0.8867863843473599,True,ok,1.4829263414190537,False,False,temporal_xy,True,ok,2.0702748996126674,28.97727031319272,0.2227296868072699
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8,0.8278071284294128,254477.6993564563,False,refined_freeze_alt_init_yaw,3364551.947361674,0.8863754132046815,True,ok,1.4731895437795601,False,False,temporal_xy,True,ok,2.0702748996126674,29.087871000000007,0.11212899999998172
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.45484400000001,0.9381085634231567,254477.02735200932,False,temporal_predicted,3364557.946516403,0.8415974269632807,True,ok,1.5587103975841454,False,True,ok,False,visual_overlap_worse,4.080532679852053,28.179385999999994,1.0206139999999948
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.546,0.9503520727157593,254479.65329464382,True,init,3364549.1982149333,0.8331758118301621,True,disabled,1.4209550639293682,False,True,disabled,True,init,5.977795975003348,29.007136000000003,0.19286399999998594
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.76489051245153,0.986121416091919,254482.84230900044,False,raw_refined_full,3364544.2231763126,0.8257396080389464,False,pose_yaw_jump,9.283322368722285,False,False,temporal_xy,True,ok,11.835917181660722,-151.18419577291874,179.6158042270813
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.76489051245153,0.9887306690216064,254482.84230900044,False,refined_corrected_yaw,3364544.2231763126,0.823243040818874,True,ok,2.073566136552743,False,False,temporal_xy,True,ok,11.835917181660722,28.81580422708126,0.38419577291872997
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.546,0.9887306690216064,254482.84230900044,False,refined_freeze_alt_corrected_yaw,3364544.2231763126,0.823243040818874,True,ok,2.0691883263037125,False,False,temporal_xy,True,ok,11.835917181660722,28.81580422708126,0.38419577291872997
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.546,0.9966850876808167,254482.84230900044,False,refined_freeze_alt_init_yaw,3364544.2231763126,0.8213171175348182,True,ok,2.0718309490089366,False,False,temporal_xy,True,ok,11.835917181660722,29.007136000000003,0.19286399999998594
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.548579,0.8610031604766846,254476.51872971238,True,temporal_predicted,3364553.158047038,0.893414412325909,True,ok,1.2866482397031056,True,True,ok,True,ok,1.817208970187993,29.087871000000007,0.11212899999998172
000003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.157,0.8899412155151367,254479.94162956064,True,init,3364555.2034170134,0.8651033742056744,True,disabled,1.3136912391820739,False,True,disabled,True,init,2.081842672395745,30.12621999999999,0.9262200000000007
000003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.18614391703159,0.9493932127952576,254479.12003441408,False,raw_refined_full,3364553.1289835707,0.8363734001611026,False,pose_yaw_jump,8.635336872568063,False,False,temporal_xy,True,ok,2.76734475084601,-148.94786061293868,178.14786061293867
000003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.18614391703159,0.9464409351348877,254479.12003441408,False,refined_corrected_yaw,3364553.1289835707,0.8401861630716907,True,ok,1.5081416498151072,False,False,temporal_xy,True,ok,2.76734475084601,31.052139387061317,1.852139387061328
