frame,gt_pilot_dense_feature_loss,init_pilot_dense_feature_loss,refined_pilot_dense_feature_loss,gt_minus_init_loss,gt_minus_refined_loss,gt_chamfer,gt_overlap,rgb_mae,rgb_mse,rgb_psnr_db,valid_depth_ratio
000000.jpg,6.58418199842951e-05,0.002659324944640199,0.004472908175860842,-0.0025934831246559042,-0.004407066355876546,0.1753319352865219,0.9576363434410752,2.3340945773654513,10.190919876098633,38.048669738111435,1.0
000001.jpg,7.206883795637016e-05,0.0026691521052271128,0.004384124224695067,-0.0025970832672707425,-0.004312055386738697,0.1897817999124527,0.9533151395848246,2.338404337565104,10.202028274536133,38.04393838040317,1.0
000002.jpg,6.415658087159197e-05,0.0026661482794831195,0.004223522186900179,-0.0026019916986115277,-0.004159365606028587,0.18241669237613678,0.9552345761952749,2.339163886176215,10.187844276428223,38.049980628178716,1.0
000003.jpg,5.5254019874458514e-05,0.002706974007499715,0.004487857998659213,-0.002651719987625256,-0.004432603978784755,0.17142996191978455,0.9586573066157196,2.338290744357639,10.19254207611084,38.047978479171235,1.0
000004.jpg,7.887816173024476e-05,0.0026843392212564745,0.004366770347890754,-0.0026054610595262298,-0.0042878921861605095,0.1944078803062439,0.9524517747341783,2.345947265625,10.25490665435791,38.02148649326058,1.0
000005.jpg,0.00010117593774339184,0.0026460112227747836,0.004619292526816328,-0.002544835285031392,-0.004518116589072936,0.18427878618240356,0.9549302016397075,2.347537570529514,10.26113510131836,38.018849551631135,1.0
000006.jpg,0.00010863872012123466,0.0026230773461672166,0.004293634983090063,-0.002514438626045982,-0.004184996262968828,0.18250134587287903,0.9561020758958085,2.343477037217882,10.253633499145508,38.022025706953926,1.0
000007.jpg,0.00010032831050921232,0.0026186072694448135,0.004318397763806085,-0.002518278958935601,-0.004218069453296873,0.17525389790534973,0.9579813494240264,2.343514336480035,10.256264686584473,38.020911405769674,1.0
000008.jpg,8.020720997592434e-05,0.002636942624424895,0.004310938064008951,-0.0025567354144489705,-0.004230730854033027,0.17606163024902344,0.9581980875515396,2.346282958984375,10.281982421875,38.010035038081284,1.0
000009.jpg,0.00011341822998171362,0.0026061146248442433,0.004438019668062528,-0.00249269639486253,-0.004324601438080814,0.17265617847442627,0.9589953757478796,2.3443196614583335,10.265625,38.01694965292017,1.0
000010.jpg,9.543657506583259e-05,0.0026461605254250267,0.004343962956530352,-0.002550723950359194,-0.0042485263814645196,0.19407834112644196,0.9527752762097217,2.352784898546007,10.328075408935547,37.99060960660182,1.0
000011.jpg,7.915336270040522e-05,0.002662331098690629,0.004300028861810763,-0.002583177735990224,-0.004220875499110358,0.1920405775308609,0.9542104574593345,2.3491923014322915,10.306111335754395,37.999855310833745,1.0
000012.jpg,0.00013760908283681297,0.0026111839106306434,0.004398298372204105,-0.0024735748277938305,-0.004260689289367292,0.1741567999124527,0.9584591312779602,2.3549024793836804,10.36146354675293,37.97659257448366,1.0
000013.jpg,0.00011026447949310143,0.0026879169357319674,0.004362769036864241,-0.002577652456238866,-0.0042525045573711395,0.18953287601470947,0.9527232876712328,2.352725558810764,10.35914421081543,37.97756481894225,1.0
000014.jpg,0.00010086855763802305,0.0026246378353486457,0.004410115381081899,-0.0025237692777106227,-0.004309246823443876,0.18793395161628723,0.9541431137986942,2.355765448676215,10.371044158935547,37.9725787741664,1.0
000015.jpg,8.585061611180815e-05,0.0026677946055618427,0.004417198710143566,-0.0025819439894500347,-0.004331348094031758,0.19287504255771637,0.9529142555391757,2.3533460828993054,10.37266731262207,37.971899120776754,1.0
000016.jpg,8.975272188157153e-05,0.0026661109489699206,0.004467659901517133,-0.002576358227088349,-0.004377907179635562,0.201740562915802,0.949942917361904,2.3525627983940973,10.359432220458984,37.97744407609164,1.0
000017.jpg,7.702333581012984e-05,0.0026799853270252547,0.004592819915463527,-0.0026029619912151247,-0.004515796579653397,0.17249362170696259,0.9587170110587302,2.3599378797743054,10.4071044921875,37.95750445764955,1.0
000018.jpg,8.692893970874138e-05,0.0026665606807606914,0.004342585724468033,-0.00257963174105195,-0.004255656784759291,0.1744120568037033,0.9572576207769341,2.3606686062282987,10.440834999084473,37.943451283900174,1.0
000019.jpg,0.0001381461443088483,0.002624498233975222,0.00420542045806845,-0.0024863520896663736,-0.004067274313759602,0.17780005931854248,0.9564667117638074,2.3633236355251737,10.455259323120117,37.93745551719634,1.0
000020.jpg,7.662042601926562e-05,0.0026310382915350297,0.004289824631996453,-0.002554417865515764,-0.0042132042059771875,0.1769852340221405,0.9597281595966239,2.3647596571180554,10.45994758605957,37.93550852545272,1.0
000021.jpg,8.39466859664147e-05,0.0026535398016373315,0.004469495615921915,-0.0025695931156709166,-0.0043855489299555,0.16865605115890503,0.9587510803802939,2.36236572265625,10.451531410217285,37.93900430776925,1.0
000022.jpg,7.923224620753899e-05,0.0026816469229136906,0.004353298805654049,-0.0026024146767061516,-0.00427406655944651,0.19246549904346466,0.953281111758486,2.37054443359375,10.535430908203125,37.904280575419534,1.0
000023.jpg,9.025483692918594e-05,0.0026524457692479095,0.004489571088925004,-0.0025621909323187237,-0.004399316251995818,0.17515616118907928,0.9568271782156683,2.366219414605035,10.492612838745117,37.921967125072946,1.0
000024.jpg,0.00011140616455425818,0.002634996509489914,0.004423792435166736,-0.0025235903449356556,-0.004312386270612478,0.20008012652397156,0.950659757000392,2.370149400499132,10.508601188659668,37.915354504035854,1.0
000025.jpg,8.70903337878796e-05,0.002692474673191706,0.004376732278615236,-0.0026053843394038267,-0.004289641944827356,0.17967109382152557,0.9562111734020217,2.368477715386285,10.514409065246582,37.91295491540703,1.0
000026.jpg,0.00010198483384253147,0.002639961584160725,0.004493629133018355,-0.002537976750318194,-0.004391644299175823,0.17581939697265625,0.956507662421757,2.3726637098524304,10.54692268371582,37.89954598526577,1.0
000027.jpg,0.00012384400179143995,0.0026840815359416106,0.004384017471844952,-0.0025602375341501706,-0.004260173470053512,0.18179063498973846,0.955647364854526,2.3741997612847223,10.54578685760498,37.9000137137118,1.0
000028.jpg,6.922137011618663e-05,0.0026787733271097145,0.004464950179681182,-0.0026095519569935277,-0.0043957288095649956,0.16056102514266968,0.9627465940054496,2.3733707004123263,10.523418426513672,37.909235219421795,1.0
000029.jpg,8.090129752721016e-05,0.002739564147001753,0.0043733560014516115,-0.002658662849474543,-0.004292454703924402,0.18596585094928741,0.9543713067382411,2.3743133544921875,10.569605827331543,37.89021569417327,1.0
000030.jpg,6.274717331204253e-05,0.0026977532155190906,0.004588791324446599,-0.0026350060422070483,-0.004526044151134556,0.17495949566364288,0.9574398606726897,2.3774837917751737,10.584237098693848,37.884208008996275,1.0
000031.jpg,9.130740363616496e-05,0.0026992405376707516,0.0043972597147027654,-0.0026079331340345866,-0.0043059523110666005,0.17474348843097687,0.9571140371808499,2.382227579752604,10.635051727294922,37.86340754280867,1.0
000032.jpg,8.915875029439728e-05,0.002649552441046884,0.004362163521970312,-0.0025603936907524867,-0.0042730047716759145,0.17205317318439484,0.9587463812615141,2.3830362955729165,10.655476570129395,37.855074824020235,1.0
000033.jpg,8.258239298205201e-05,0.0026757099161234996,0.004503659904003143,-0.0025931275231414475,-0.004421077511021092,0.17743846774101257,0.9570239288671926,2.378875732421875,10.61839771270752,37.87021373032906,1.0
000034.jpg,0.00010989718066412024,0.0026638105822106204,0.004433647962287068,-0.0025539134015465,-0.004323750781622948,0.18601112067699432,0.9553686229215246,2.3766309950086804,10.622626304626465,37.86848457248867,1.0
000035.jpg,7.776832353556529e-05,0.002637606036538879,0.004257094968731205,-0.0025598377130033136,-0.00417932664519564,0.17955635488033295,0.956027785592175,2.38360595703125,10.669304847717285,37.849442367232285,1.0
000036.jpg,0.00010967536218231544,0.0026418574076766768,0.004323262837715447,-0.0025321820454943613,-0.0042135874755331315,0.1677188128232956,0.9611987587074933,2.388576931423611,10.70085620880127,37.836618325396124,1.0
000037.jpg,7.297210565108496e-05,0.002657607081346214,0.004350246706356605,-0.002584634975695129,-0.004277274600705519,0.18776217103004456,0.9522232021855572,2.3870985243055554,10.67121410369873,37.84866527334681,1.0
000038.jpg,8.796597952217174e-05,0.002640458114910871,0.004551612228776018,-0.002552492135388699,-0.004463646249253847,0.18205128610134125,0.9545552863817269,2.389334784613715,10.732111930847168,37.82395167358524,1.0
000039.jpg,8.903646206211609e-05,0.0026279136848946414,0.0044447256562610464,-0.002538877222832525,-0.004355689194198931,0.18178153038024902,0.9554538063246181,2.3921017116970487,10.764083862304688,37.81103288201845,1.0
000040.jpg,0.00014362943572147438,0.002609376950810353,0.00442291796207428,-0.0024657475150888786,-0.004279288526352805,0.1816393882036209,0.9556818915950642,2.393244425455729,10.760354042053223,37.812537999482714,1.0
000041.jpg,7.741966934797044e-05,0.002633306721691042,0.0045444301795214415,-0.002555887052343072,-0.004467010510173471,0.1788991242647171,0.9561876140388537,2.3907284206814237,10.718229293823242,37.8295731724998,1.0
