frame_id,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,refined_east,refined_north,refined_alt,refined_yaw,selected_method,init_xy_error_m,refined_xy_error_m,selected_xy_error_m,init_alt_error_m,refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,refined_chamfer,gt_chamfer,init_overlap,refined_overlap,gt_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,safe_gate_accepted,refine_success,renderer_backend_init,renderer_backend_refined,renderer_backend_gt,elapsed_ms,renderer_fallback_gt,renderer_fallback_init,renderer_fallback_refined
000000.jpg,254476.43692124507,3364552.994355502,109.956,29.19999999999999,254476.53949200793,3364557.073594403,111.18,28.179385999999994,254472.7383322043,3364558.955051952,111.36910006869584,-152.84034860703784,init,4.08052824670161,7.01494569196802,4.08052824670161,1.2240000000000038,1.4131000686958402,1.2240000000000038,1.0206139999999948,177.9596513929622,1.0206139999999948,0.9393740892410278,0.9934372901916504,0.05480720475316048,0.8440766706711373,0.828441304620681,0.9912320022950996,0.003155911690555513,0.00497467575284342,-0.001818764062287907,False,True,prototype,prototype,prototype,2265.119986000002,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000001.jpg,254476.92477416995,3364553.8672732455,110.231,29.19999999999999,254476.03086971297,3364552.285125038,110.8,29.087871000000007,254477.69939010413,3364551.947375413,110.97393174562603,-151.02273163968525,init,1.8172116355129764,2.070274748070031,1.8172116355129764,0.5690000000000026,0.7429317456260378,0.5690000000000026,0.11212899999998172,179.7772683603148,0.11212899999998172,0.8673178553581238,0.8403906226158142,0.0537356473505497,0.8922004824443849,0.8838381131064058,0.9909407665505227,0.0012718576666278143,0.00151612800740016,-0.00024427034077234566,False,True,prototype,prototype,prototype,116.34362399999532,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000002.jpg,254477.4126366352,3364554.740190791,109.979,29.19999999999999,254479.65329464382,3364549.1982149333,111.546,29.007136000000003,254482.8422999604,3364544.2231706246,111.76486074831337,-151.18419328690678,init,5.977795975003348,11.835918088814564,5.977795975003348,1.5670000000000073,1.7858607483133682,1.5670000000000073,0.19286399999998594,179.6158067130932,0.19286399999998594,0.9503520727157593,0.9861947894096375,0.0648108720779419,0.8331758118301621,0.8257039427929455,0.9877668206216452,0.004299301576490204,0.007182803160200517,-0.002883501583710313,False,True,prototype,prototype,prototype,117.62096900000074,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000003.jpg,254477.90049927725,3364555.6131194406,109.536,29.19999999999999,254479.94162956064,3364555.2034170134,109.157,30.12621999999999,254479.12003342697,3364553.129003039,109.18620360642672,-148.94785775521007,init,2.081842672395745,2.7673268398645927,2.081842672395745,0.3790000000000049,0.3497963935732855,0.3790000000000049,0.9262200000000007,178.14785775521005,0.9262200000000007,0.8899412155151367,0.9494318962097168,0.05130583047866821,0.8651033742056744,0.8363017989796832,0.9921596706345654,0.002163318529104193,0.003706785384565592,-0.0015434668554613986,False,True,prototype,prototype,prototype,124.53438800000072,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000004.jpg,254478.38835198412,3364556.486037237,109.094,29.19999999999999,254480.86189791223,3364555.8784438665,108.941,30.57139699999999,254479.84514164782,3364553.394875327,108.82957241125405,-148.0517447763077,init,2.5470765913995095,3.4172383700837097,2.5470765913995095,0.1529999999999916,0.26442758874594574,0.1529999999999916,1.3713970000000018,177.25174477630767,1.3713970000000018,0.9245753884315491,0.9754675030708313,0.05716824531555176,0.8471458811391572,0.8295889143853283,0.9897362007933543,0.0030920631058203676,0.005155064747668803,-0.002063001641848435,False,True,prototype,prototype,prototype,116.38760900001444,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000005.jpg,254478.87621448273,3364557.358965922,108.652,29.19999999999999,254476.26519601344,3364552.815815422,109.047,27.858868,254481.4483560775,3364552.2688356033,109.0143552897498,-153.48369553058626,refined,5.240003235877206,5.703099073910767,5.703099073910767,0.394999999999996,0.36235528974980014,0.36235528974980014,1.3411319999999876,177.31630446941375,177.31630446941375,0.968603253364563,0.9604728817939758,0.0588674321770668,0.8312979825031245,0.8323513658275308,0.9900910551687199,0.004578313169380029,0.00560335349291563,-0.0010250403235356016,True,True,prototype,prototype,prototype,117.90540399999827,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000006.jpg,254479.36407665766,3364558.231883538,108.413,29.19999999999999,254473.60305762038,3364555.78972327,107.946,26.813594999999992,254479.06284161477,3364558.747960466,108.05347647238523,-155.5747187632564,refined,6.257274735997921,0.5975599942132089,0.5975599942132089,0.46699999999999875,0.359523527614769,0.359523527614769,2.3864049999999963,175.22528123674363,175.22528123674363,1.0071680545806885,0.9918822050094604,0.05489911884069443,0.8196243580858965,0.8237823622439007,0.9909199139968371,0.005808916408568621,0.007296816833938162,-0.0014879004253695411,True,True,prototype,prototype,prototype,118.7587100000087,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000007.jpg,254479.85193876142,3364559.104801173,108.167,29.19999999999999,254475.37454710572,3364559.214718537,109.064,28.733735999999993,254477.7962917525,3364562.686643692,109.01226608641446,-151.7349654125821,refined,4.478740656197932,4.1298039249726965,4.1298039249726965,0.8969999999999914,0.8452660864144548,0.8452660864144548,0.46626399999999535,179.06503458741793,179.06503458741793,0.9941924810409546,0.9199235439300537,0.05877966433763504,0.8185067232837934,0.8538216560509554,0.989897381457891,0.0032334491067255535,0.0029374584555625916,0.000295990651162962,True,True,prototype,prototype,prototype,124.953631000011,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000008.jpg,254480.3397914293,3364559.977730127,108.096,29.19999999999999,254478.10900810472,3364561.132706504,108.813,28.59997899999999,254478.04660789744,3364563.413748162,109.00360282044858,-152.0021915918302,init,2.512043923212948,4.130969698061753,2.512043923212948,0.7169999999999987,0.9076028204485738,0.7169999999999987,0.6000209999999981,178.79780840816977,0.6000209999999981,0.8452165126800537,0.9122740030288696,0.05624542757868767,0.8749600369436255,0.8548186565308514,0.991137082164044,0.0018686540618849297,0.003165505186188966,-0.0012968511243040364,False,True,prototype,prototype,prototype,125.55641899999159,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
000009.jpg,254480.82765338855,3364560.850647796,108.107,29.19999999999999,254482.4616538305,3364563.9792714324,107.9,27.572969,254478.5021345384,3364564.3361837086,108.06149482354522,-154.0521959181406,init,3.529623677223757,4.19010722070375,3.529623677223757,0.20699999999999363,0.045505176454781804,0.20699999999999363,1.6270309999999881,176.74780408185939,1.6270309999999881,0.9382580518722534,0.9781621098518372,0.05629318207502365,0.842282648973902,0.8291189497273738,0.9906477739937534,0.0036237976358582578,0.0059668500907719135,-0.0023430524549136558,False,True,prototype,prototype,prototype,126.4653899999928,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast'
