frame,render,alpha_overlay,diff_x4,edge_overlay,mae_rgb,mse_rgb,psnr_db,valid_depth_ratio,query_edge_count,render_edge_count,edge_overlap_iou
000087.jpg,direct_render/000087_direct_render.jpg,alpha/000087_direct_query_alpha.jpg,diff/000087_direct_query_diff_x4.jpg,edges/000087_direct_query_edges.jpg,2.441248575846354,11.257631301879883,37.61633339867686,1.0,47424,46727,0.8292403341752477
000088.jpg,direct_render/000088_direct_render.jpg,alpha/000088_direct_query_alpha.jpg,diff/000088_direct_query_diff_x4.jpg,edges/000088_direct_query_edges.jpg,2.4422166612413196,11.259565353393555,37.61558734852236,1.0,47678,47202,0.8245452097996231
000089.jpg,direct_render/000089_direct_render.jpg,alpha/000089_direct_query_alpha.jpg,diff/000089_direct_query_diff_x4.jpg,edges/000089_direct_query_edges.jpg,2.434561835394965,11.194331169128418,37.640822100930194,1.0,47778,47016,0.8218053927315357
000090.jpg,direct_render/000090_direct_render.jpg,alpha/000090_direct_query_alpha.jpg,diff/000090_direct_query_diff_x4.jpg,edges/000090_direct_query_edges.jpg,2.4360419379340277,11.18187141418457,37.64565867081473,1.0,47305,46881,0.8261240475405704
000091.jpg,direct_render/000091_direct_render.jpg,alpha/000091_direct_query_alpha.jpg,diff/000091_direct_query_diff_x4.jpg,edges/000091_direct_query_edges.jpg,2.4400448269314237,11.254779815673828,37.61743357823973,1.0,47326,46842,0.8284338472292339
000092.jpg,direct_render/000092_direct_render.jpg,alpha/000092_direct_query_alpha.jpg,diff/000092_direct_query_diff_x4.jpg,edges/000092_direct_query_edges.jpg,2.441435072157118,11.241579055786133,37.62253041890353,1.0,47587,47025,0.823740313813177
000093.jpg,direct_render/000093_direct_render.jpg,alpha/000093_direct_query_alpha.jpg,diff/000093_direct_query_diff_x4.jpg,edges/000093_direct_query_edges.jpg,2.4389546712239585,11.238481521606445,37.623727250207104,1.0,47329,46874,0.8275875448637113
000094.jpg,direct_render/000094_direct_render.jpg,alpha/000094_direct_query_alpha.jpg,diff/000094_direct_query_diff_x4.jpg,edges/000094_direct_query_edges.jpg,2.442452324761285,11.305601119995117,37.597867020895535,1.0,47827,47330,0.8216747070985527
000095.jpg,direct_render/000095_direct_render.jpg,alpha/000095_direct_query_alpha.jpg,diff/000095_direct_query_diff_x4.jpg,edges/000095_direct_query_edges.jpg,2.443661159939236,11.304388999938965,37.598332670857786,1.0,47413,46960,0.8232805255023183
000096.jpg,direct_render/000096_direct_render.jpg,alpha/000096_direct_query_alpha.jpg,diff/000096_direct_query_diff_x4.jpg,edges/000096_direct_query_edges.jpg,2.44289313422309,11.281719207763672,37.60705074558163,1.0,48084,47585,0.8309856459330144
000097.jpg,direct_render/000097_direct_render.jpg,alpha/000097_direct_query_alpha.jpg,diff/000097_direct_query_diff_x4.jpg,edges/000097_direct_query_edges.jpg,2.447667439778646,11.326560020446777,37.58982330173103,1.0,47436,47187,0.8279692450351596
000098.jpg,direct_render/000098_direct_render.jpg,alpha/000098_direct_query_alpha.jpg,diff/000098_direct_query_diff_x4.jpg,edges/000098_direct_query_edges.jpg,2.4510972764756946,11.341132164001465,37.58423949341423,1.0,47955,47623,0.8303650082347084
000099.jpg,direct_render/000099_direct_render.jpg,alpha/000099_direct_query_alpha.jpg,diff/000099_direct_query_diff_x4.jpg,edges/000099_direct_query_edges.jpg,2.442899915907118,11.304329872131348,37.598355386767274,1.0,47408,47210,0.8310208030962748
