frame_index,frame_id,init_source,selected_method,refine_success,elapsed_ms,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,raw_refined_east,raw_refined_north,raw_refined_alt,raw_refined_yaw,selected_east,selected_north,selected_alt,selected_yaw,raw_delta_east_m,raw_delta_north_m,raw_delta_alt_m,applied_delta_east_m,applied_delta_north_m,applied_delta_alt_m,init_xy_error_m,raw_refined_xy_error_m,selected_xy_error_m,init_alt_error_m,raw_refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,raw_refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,raw_refined_chamfer,selected_chamfer,init_overlap,raw_refined_overlap,selected_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,failure_reason,renderer_backend_init,renderer_backend_raw_refined,renderer_backend_selected
0,000000.jpg,gt_first_pose,swap_xy_freeze_alt_refine_only,True,1915.019534999999,254788.64145618468,3363802.653119775,88.805,29.19999999999999,254788.64145618468,3363802.653119775,88.805,29.19999999999999,254799.5038955191,3363804.108624367,89.55152898933738,-153.83067020117215,254790.0969607763,3363813.515559109,88.805,26.169329798827846,10.862439334421651,1.4555045920424163,0.7465289893373779,1.4555045920424163,10.862439334421651,0.0,0.0,10.959520149689368,10.95952014914487,0.0,0.7465289893373779,0.0,0.0,176.96932979882786,3.0306702011721427,1.6506314277648926,1.6231547594070435,1.6777337789535522,0.6838609352438076,0.6927024325224925,0.6777518604909475,0.012200627165536085,0.012162736617028713,3.789054850737196e-05,,gpu_mesh,gpu_mesh,gpu_mesh
1,000001.jpg,previous_frame_refine_only:000000.jpg,swap_xy_freeze_alt_refine_only,True,144.05226099998458,254789.12931911834,3363803.5260398947,88.854,29.19999999999999,254790.0969607763,3363813.515559109,88.805,26.169329798827846,254792.6035671371,3363813.146714689,95.88048192020506,-154.34668982213233,254789.72811635776,3363816.0221654708,88.805,25.653310177867667,2.5066063607810065,-0.3688444197177887,7.07548192020505,-0.3688444197177887,2.5066063607810065,0.0,10.036275430171813,10.228772301607066,12.510464121976366,0.04899999999999238,7.0264819202050575,0.04899999999999238,3.0306702011721427,176.4533101778677,3.546689822132322,1.6705496311187744,1.7156773805618286,1.6721487045288086,0.677881173944166,0.6762705798138869,0.677590372226199,0.01217967038974166,0.01220940581212441,-2.9735422382751522e-05,,gpu_mesh,gpu_mesh,gpu_mesh
2,000002.jpg,previous_frame_refine_only:000001.jpg,swap_xy_freeze_alt_refine_only,True,159.4861920000028,254789.61718198095,3363804.398960034,88.934,29.19999999999999,254789.72811635776,3363816.0221654708,88.805,25.653310177867667,254802.61399388764,3363813.7554139877,88.11423632968217,-156.1462386045328,254787.46136487514,3363828.908043001,88.805,23.85376139546719,12.885877529886784,-2.2667514830827713,-0.6907636703178355,-2.2667514830827713,12.885877529886784,0.0,11.623734815600017,16.014379486169215,24.603713038371772,0.12899999999999068,0.8197636703178262,0.12899999999999068,3.546689822132322,174.6537613954672,5.3462386045328,1.66182279586792,1.6657817363739014,1.670211911201477,0.6810211622438697,0.6855447318329414,0.672735415966857,0.012283956011136373,0.012467004048327604,-0.0001830480371912309,,gpu_mesh,gpu_mesh,gpu_mesh
3,000003.jpg,previous_frame_refine_only:000002.jpg,swap_xy_freeze_alt_refine_only,True,174.09475900001325,254790.10503515808,3363805.2718804055,88.865,29.19999999999999,254787.46136487514,3363828.908043001,88.805,23.85376139546719,254788.94333788424,3363824.161871272,98.84954160545021,-156.5385868204658,254782.71519314614,3363830.3900160096,88.805,23.46141317953419,1.4819730090966914,-4.74617172870785,10.044541605450206,-4.74617172870785,1.4819730090966914,0.0,23.783548406389595,18.925678204443994,26.182637399355695,0.05999999999998806,9.984541605450218,0.05999999999998806,5.3462386045328,174.2614131795342,5.738586820465798,1.6600090265274048,1.6746394634246826,1.7361729145050049,0.6762562758252988,0.6716577064913138,0.6705913715732883,0.012366051009545723,0.0124223114301761,-5.62604206303767e-05,,gpu_mesh,gpu_mesh,gpu_mesh
4,000004.jpg,previous_frame_refine_only:000003.jpg,swap_xy_freeze_alt_refine_only,True,179.2144080000071,254790.59289787602,3363806.144800578,88.799,29.19999999999999,254782.71519314614,3363830.3900160096,88.805,23.46141317953419,254791.3956308757,3363825.908260462,100.30131345055997,-155.63841802802963,254778.23343759877,3363839.070453739,88.805,24.361581971970367,8.68043772954843,-4.481755547691137,11.496313450559967,-4.481755547691137,8.68043772954843,0.0,25.492914763614706,19.779755480263848,35.16894787201349,0.006000000000000227,11.502313450559967,0.006000000000000227,5.738586820465798,175.16158197197035,4.838418028029622,1.7313982248306274,1.6563724279403687,1.7066158056259155,0.6730005105551733,0.676063841594708,0.6765078026149304,0.012597038721044859,0.012449227583905062,0.0001478111371397972,,gpu_mesh,gpu_mesh,gpu_mesh
5,000005.jpg,previous_frame_refine_only:000004.jpg,swap_xy_freeze_alt_refine_only,True,125.83087500001966,254791.0807605194,3363807.017720768,88.816,29.19999999999999,254778.23343759877,3363839.070453739,88.805,24.361581971970367,254791.886860647,3363830.668102711,100.03481342550367,-148.84381826803977,254769.83108657104,3363852.723876786,88.805,31.15618173196023,13.653423048235709,-8.40235102782026,11.229813425503664,-8.40235102782026,13.653423048235709,0.0,34.53159997899436,23.664115522314827,50.404378191068204,0.01099999999999568,11.218813425503669,0.01099999999999568,4.838418028029622,178.04381826803976,1.9561817319602426,1.689679503440857,1.639017105102539,1.6862447261810303,0.6763128739197872,0.6814092621316198,0.6709284289829381,0.012787849021454653,0.011760487842063109,0.0010273611793915442,,gpu_mesh,gpu_mesh,gpu_mesh
6,000006.jpg,previous_frame_refine_only:000005.jpg,swap_xy_freeze_alt_refine_only,True,164.47756799999524,254791.5686137308,3363807.8906522817,88.832,29.19999999999999,254769.83108657104,3363852.723876786,88.805,31.15618173196023,254775.0208652907,3363843.059719594,98.8382655326277,-152.63801625109818,254760.16692937957,3363857.913655505,88.805,27.36198374890182,5.189778719650349,-9.664157191757113,10.033265532627695,-9.664157191757113,5.189778719650349,0.0,49.82507507742119,38.86761214775717,59.06239608734291,0.026999999999986812,10.006265532627708,0.026999999999986812,1.9561817319602426,178.16198374890183,1.8380162510981677,1.675876498222351,1.7587034702301025,1.6116282939910889,0.6730574287099476,0.6682092644012517,0.6816298646921416,0.012816844818492731,0.01248295015345017,0.00033389466504256046,,gpu_mesh,gpu_mesh,gpu_mesh
7,000007.jpg,previous_frame_refine_only:000006.jpg,swap_xy_freeze_alt_refine_only,True,123.39659900004563,254792.05647623076,3363808.7635725066,88.842,29.19999999999999,254760.16692937957,3363857.913655505,88.805,27.36198374890182,254760.1961594531,3363850.0789537276,99.3420590646565,-154.59818826716685,254752.33222760202,3363857.9428855786,88.805,25.401811732833153,0.029230073530925438,-7.834701777435839,10.53705906465649,-7.834701777435839,0.029230073530925438,0.0,58.58902505698638,52.173178076575226,63.21883234727081,0.03699999999999193,10.500059064656497,0.03699999999999193,1.8380162510981677,176.20181173283316,3.798188267166836,1.637969732284546,1.6901909112930298,1.7521169185638428,0.6787712561711464,0.6670981897970378,0.6652331321996708,0.012742910223702589,0.01261802390217781,0.00012488632152477842,,gpu_mesh,gpu_mesh,gpu_mesh
8,000008.jpg,previous_frame_refine_only:000007.jpg,swap_xy_freeze_alt_refine_only,True,130.03784099998938,254792.54433865723,3363809.636492751,88.836,29.19999999999999,254752.33222760202,3363857.9428855786,88.805,25.401811732833153,254757.77958456092,3363845.2925966997,94.64883769117296,-153.55963254926667,254739.6819387226,3363863.390242536,88.805,26.440367450733333,5.447356958902674,-12.650288878940046,5.843837691172951,-12.650288878940046,5.447356958902674,0.0,62.8531738540299,49.79905497265897,75.39163708792357,0.0309999999999917,5.812837691172959,0.0309999999999917,3.798188267166836,177.24036745073334,2.759632549266655,1.7347476482391357,1.710624098777771,1.8175309896469116,0.6668348100710588,0.6750153522238793,0.6548162119484165,0.012837779087324938,0.012723500840365887,0.00011427824695905107,,gpu_mesh,gpu_mesh,gpu_mesh
9,000009.jpg,previous_frame_refine_only:000008.jpg,swap_xy_freeze_alt_refine_only,True,133.2942850000336,254793.0321914019,3363810.5094132307,88.871,29.19999999999999,254739.6819387226,3363863.390242536,88.805,26.440367450733333,254743.4465900429,3363851.1563565955,100.98704210203141,-151.43231597986323,254727.44805278227,3363867.154893857,88.805,28.567684020136767,3.7646513202926144,-12.233885940629989,12.182042102031403,-12.233885940629989,3.7646513202926144,0.0,75.11745182691823,64.11634633251474,86.66019682563989,0.06599999999998829,12.116042102031415,0.06599999999998829,2.759632549266655,179.36768402013678,0.6323159798632219,1.8041481971740723,1.732599139213562,1.7620235681533813,0.6543864647482961,0.6681934734489031,0.6536194087093734,0.012716883948693672,0.0128311263397336,-0.00011424239103992838,,gpu_mesh,gpu_mesh,gpu_mesh
10,000010.jpg,previous_frame_refine_only:000009.jpg,swap_xy_freeze_alt_refine_only,True,116.76089799999545,254793.52005368512,3363811.38233351,89.049,29.19999999999999,254727.44805278227,3363867.154893857,88.805,28.567684020136767,254734.79028635286,3363857.793907521,101.39626305550337,-155.58069177936005,254718.08706644567,3363874.497127427,88.805,24.419308220639948,7.34223357058363,-9.360986336134374,12.591263055503362,-9.360986336134374,7.34223357058363,0.0,86.46437295759989,74.85465765772794,98.35452595083535,0.24399999999999977,12.347263055503362,0.24399999999999977,0.6323159798632219,175.21930822063996,4.7806917793600405,1.7727807760238647,1.7317867279052734,1.7825075387954712,0.6564016956970589,0.6621784874909394,0.6568849254288663,0.012701610879351696,0.012584720427791277,0.00011689045156041897,,gpu_mesh,gpu_mesh,gpu_mesh
11,000011.jpg,previous_frame_refine_only:000010.jpg,swap_xy_freeze_alt_refine_only,True,124.9561989999961,254794.0079158972,3363812.2552538086,88.89,29.19999999999999,254718.08706644567,3363874.497127427,88.805,24.419308220639948,254724.7676507272,3363868.06381426,93.93849887419492,-160.6401599332263,254711.65375327907,3363881.1777117075,88.805,19.3598400667737,6.680584281537449,-6.433313166722655,5.133498874194913,-6.433313166722655,6.680584281537449,0.0,98.1734496335352,88.93148902654924,107.38954000911747,0.08499999999999375,5.0484988741949195,0.08499999999999375,4.7806917793600405,170.1598400667737,9.840159933226289,1.78787362575531,1.7321323156356812,1.8591759204864502,0.659129562600846,0.6619641533295538,0.6536784265841001,0.012525391454497973,0.01259292041261991,-6.752895812193668e-05,,gpu_mesh,gpu_mesh,gpu_mesh
