frame_index,frame_id,init_source,selected_method,yaw_policy,yaw_pred,yaw_obs_corrected,yaw_obs_delta_deg,accepted_yaw_delta_deg,yaw_obs_trusted,selected_yaw_source,refine_success,elapsed_ms,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,raw_refined_east,raw_refined_north,raw_refined_alt,raw_refined_yaw,selected_east,selected_north,selected_alt,selected_yaw,raw_delta_east_m,raw_delta_north_m,raw_delta_alt_m,applied_delta_east_m,applied_delta_north_m,applied_delta_alt_m,init_xy_error_m,raw_refined_xy_error_m,selected_xy_error_m,init_alt_error_m,raw_refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,raw_refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,raw_refined_chamfer,selected_chamfer,init_overlap,raw_refined_overlap,selected_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,failure_reason,renderer_backend_init,renderer_backend_raw_refined,renderer_backend_selected,selected_yaw_score
0,000000.jpg,gt_first_pose,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.19999999999999,29.19926869506429,-0.0007313049356980628,0.0,True,prediction,True,1481.7714330000058,254788.64145618468,3363802.653119775,88.805,29.19999999999999,254788.64145618468,3363802.653119775,88.805,29.19999999999999,254788.63553641437,3363802.6267053103,88.81745188962668,-150.8007313049357,254788.6150417211,3363802.6472000037,88.805,29.19999999999999,-0.005919770308537409,-0.026414464693516493,0.012451889626674983,-0.026414464693516493,-0.005919770308537409,0.0,0.0,0.027069680928131945,0.02706968005898777,0.0,0.012451889626674983,0.0,0.0,179.9992686950643,0.0,0.1753319352865219,0.32992514967918396,0.2591390907764435,0.9576363434410752,0.9266911029656781,0.9388648228368321,6.58418199842951e-05,8.719394342430557e-05,-2.1352123440010473e-05,,prototype,prototype,prototype,1.8119402650414902
1,000001.jpg,previous_frame_refine_only:000000.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.19999999999999,29.19920782561661,-0.0007921743833776418,0.0,True,prediction,True,123.4834979999988,254789.12931911834,3363803.5260398947,88.854,29.19999999999999,254788.6150417211,3363802.6472000037,88.805,29.19999999999999,254789.80519163582,3363802.3968497952,88.84001030307263,-150.8007921743834,254788.36469151292,3363803.837349918,88.805,29.19999999999999,1.1901499147352297,-0.25035020848736167,0.03501030307262454,-0.25035020848736167,1.1901499147352297,0.0,1.0182537970584833,1.31600681629543,0.825572108126015,0.04899999999999238,0.013989696927367845,0.04899999999999238,0.0,179.99920782561662,0.0,0.9673826694488525,0.9990224838256836,0.9457017779350281,0.8512213672154617,0.8392761274158912,0.8547780959198282,0.0008181713443870345,0.00109395309118554,-0.0002757817467985054,,prototype,prototype,prototype,1.3761039449733627
2,000002.jpg,previous_frame_refine_only:000001.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.19999999999999,29.185077698594256,-0.014922301405732696,-0.014922301405732696,True,clamped_raw_observation,True,131.6691970000079,254789.61718198095,3363804.398960034,88.934,29.19999999999999,254788.36469151292,3363803.837349918,88.805,29.19999999999999,254789.8143246662,3363804.998281252,88.98883205652237,-150.81492230140574,254789.5256228473,3363805.2869830714,88.805,29.185077698594256,1.4496331532718614,1.160931333899498,0.18383205652236256,1.160931333899498,1.4496331532718614,0.0,1.3726391712897836,0.630912958289179,0.8927306368796962,0.12899999999999068,0.054832056522371886,0.12899999999999068,0.0,179.9850776985943,0.014922301405732696,0.9962890148162842,0.9087053537368774,0.9107638001441956,0.8424364572836188,0.8526256858134588,0.8644944575075579,0.0010602563755431522,0.0007322555757127702,0.000328000799830382,,prototype,prototype,prototype,1.227149939407638
