frame_index,frame_id,init_source,selected_method,yaw_policy,yaw_pred,yaw_obs_corrected,yaw_obs_delta_deg,accepted_yaw_delta_deg,yaw_obs_trusted,selected_yaw_source,refine_success,elapsed_ms,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,raw_refined_east,raw_refined_north,raw_refined_alt,raw_refined_yaw,selected_east,selected_north,selected_alt,selected_yaw,raw_delta_east_m,raw_delta_north_m,raw_delta_alt_m,applied_delta_east_m,applied_delta_north_m,applied_delta_alt_m,init_xy_error_m,raw_refined_xy_error_m,selected_xy_error_m,init_alt_error_m,raw_refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,raw_refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,raw_refined_chamfer,selected_chamfer,init_overlap,raw_refined_overlap,selected_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,failure_reason,candidate_source,candidate_yaw,candidate_yaw_delta_deg,chamfer_norm,edge_chamfer,edge_overlap,feature_loss,feature_norm,grid_offset_deg,render_failed,score,selected
0,000000.jpg,,,,29.19999999999999,29.19926869506429,-0.0007313049356980628,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prediction,29.19999999999999,0.0,1.4779913901763906,0.2591390907764435,0.9388648228368321,7.185020149336196e-05,1.091254790807727,,False,1.8119402650414902,True
0,000000.jpg,,,,29.19999999999999,29.19926869506429,-0.0007313049356980628,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,26.19999999999999,-3.0,7.586863768107074,1.3302195072174072,0.7321115183827613,0.00426318581836919,64.74890608106011,-3.0,False,24.13197876998934,False
0,000000.jpg,,,,29.19999999999999,29.19926869506429,-0.0007313049356980628,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,27.19999999999999,-2.0,6.960810795076492,1.2204524278640747,0.7605020548705987,0.003091118182055652,46.947641829964,-2.0,False,18.997219197696893,False
0,000000.jpg,,,,29.19999999999999,29.19926869506429,-0.0007313049356980628,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,28.19999999999999,-1.0,6.092199885316803,1.0681571960449219,0.8016661112962346,0.0017378010670654476,26.393575807593958,-1.0,False,12.918927725919056,False
0,000000.jpg,,,,29.19999999999999,29.19926869506429,-0.0007313049356980628,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,28.69999999999999,-0.5,5.532639369958017,0.9700483679771423,0.8446073531045207,0.0009921466116793454,15.068638927599462,-0.5,False,9.470191748753361,False
0,000000.jpg,,,,29.19999999999999,29.19926869506429,-0.0007313049356980628,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,29.69999999999999,0.5,5.47702779295527,0.9602978825569153,0.8484060868599356,0.0009859148024891813,14.97399073604506,0.5,False,9.3871193901066,False
0,000000.jpg,,,,29.19999999999999,29.19926869506429,-0.0007313049356980628,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,30.19999999999999,1.0,6.137521760189054,1.0761035680770874,0.8017549705653672,0.0017776450452705224,26.99872278279268,1.0,False,13.115447485321857,False
0,000000.jpg,,,,29.19999999999999,29.19926869506429,-0.0007313049356980628,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,31.19999999999999,2.0,7.006349560062371,1.228436827659607,0.7537487504165278,0.0030976993342240653,47.04759581316165,2.0,False,19.074499762936252,False
0,000000.jpg,,,,29.19999999999999,29.19926869506429,-0.0007313049356980628,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,32.19999999999999,3.0,7.5045264337800575,1.315783143043518,0.7392424747306453,0.004318991016286115,65.59647071293445,3.0,False,24.254401637283024,False
0,000000.jpg,,,,29.19999999999999,29.19926869506429,-0.0007313049356980628,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clamped_raw_observation,29.19926869506429,-0.0007313049356980628,1.474106065554697,0.25845786929130554,0.9390425413750972,7.410948455799371e-05,1.125568591142691,,False,1.8164776111133434,False
