drift_end_error,improved_frame_ratio_vs_init,max_xy_error,max_yaw_error,selected_method_counts,strategy,worse_frame_ratio_vs_init,xy_mean,xy_median,xy_p90,xy_rmse,yaw_mean,yaw_median,yaw_p90,yaw_rmse
4.81964684200742,0.0,8.787287317620725,7.247135000000014,{'init': 100},init_only,0.0,3.4044806893990103,3.055755729074146,6.08262297575394,3.861568477851895,1.5468907200000006,1.1057290000000108,3.4616831000000228,2.0517695124663553
6.970760517569576,0.37,14.096873081731545,179.96796581885874,{'refined': 100},raw_refined_only,0.63,4.173721447852639,3.841959877385296,7.918639922233304,5.200420081595403,176.9067165744234,177.7842620932736,179.59419345617232,176.92723820355707
6.970760517569576,0.37,14.096873081731545,14.484135822434325,{'corrected_refined_only': 100},corrected_refined_only,0.63,4.173721447852639,3.841959877385296,7.918639922233304,5.200420081595403,3.0932834255765456,2.2157379067263747,6.91926770837351,4.102395829972316
4.81964684200742,0.15,9.15377324137768,179.96796492626697,"{'init': 83, 'refined': 17}",old_visual_gate,0.02,3.074404412271455,2.659330292677079,5.85144930637613,3.5947919113321647,31.892537119293312,1.7335819999999984,179.37017870480094,73.83417395771424
4.08053236299709,0.27,4.080538413722646,1.0206139999999948,"{'init_seed': 1, 'temporal_pred_only': 99}",temporal_pred_only,0.72,4.080530031608641,4.080529858677856,4.080534758130927,4.080530031610323,1.0206139999999948,1.0206139999999948,1.0206139999999948,1.0206139999999948
6.970760516779605,0.36,14.096873082557046,7.247135000000014,"{'refined_freeze_alt_init_yaw': 86, 'refined_freeze_alt_corrected_yaw': 9, 'init': 5}",gate_v2_no_temporal,0.59,4.176626799289381,3.841959877583498,8.683050985255623,5.2003617136491105,1.5677973913874945,1.1303300000000007,3.4616831000000228,2.05761549672717
1.6981837304096687,0.58,8.787287317620725,5.826243000000005,"{'init': 32, 'temporal_predicted': 65, 'refined_freeze_alt_init_yaw': 2, 'refined_freeze_alt_corrected_yaw': 1}",gate_v2_current,0.1,2.2767737658467535,1.9898272801139698,3.594853318424313,2.756603611314328,0.6538242222187387,0.4219519999999761,1.0846890000000258,1.0235596297867737
4.0805323300647975,0.0,4.080538410955168,1.0206139999999948,{'init': 100},firstpose_odom_init_only,0.0,4.080530016879438,4.0805298470454225,4.080534755293906,4.080530016881124,1.0206139999999948,1.0206139999999948,1.0206139999999948,1.0206139999999948
4.0805323300647975,0.0,4.080538410955168,1.0206139999999948,{'init': 100},firstpose_odom_safe_selected,0.0,4.080530016879438,4.0805298470454225,4.080534755293906,4.080530016881124,1.0206139999999948,1.0206139999999948,1.0206139999999948,1.0206139999999948
