alt,alt_error_m,east,frame_id,init_xy_error_m,method,north,strategy,xy_error_m,yaw,yaw_error_deg
111.18,1.2240000000000038,254476.53949200793,000000.jpg,4.08052824670161,init,3364557.073594403,init_only,4.08052824670161,28.179385999999994,1.0206139999999948
110.8,0.5690000000000026,254476.03086971297,000001.jpg,1.8172116355129764,init,3364552.285125038,init_only,1.8172116355129764,29.087871000000007,0.11212899999998172
111.546,1.5670000000000073,254479.65329464382,000002.jpg,5.977795975003348,init,3364549.1982149333,init_only,5.977795975003348,29.007136000000003,0.19286399999998594
109.157,0.3790000000000049,254479.94162956064,000003.jpg,2.081842672395745,init,3364555.2034170134,init_only,2.081842672395745,30.12621999999999,0.9262200000000007
108.941,0.1529999999999916,254480.86189791223,000004.jpg,2.5470765913995095,init,3364555.8784438665,init_only,2.5470765913995095,30.57139699999999,1.3713970000000018
109.047,0.394999999999996,254476.26519601344,000005.jpg,5.240003235877206,init,3364552.815815422,init_only,5.240003235877206,27.858868,1.3411319999999876
107.946,0.46699999999999875,254473.60305762038,000006.jpg,6.257274735997921,init,3364555.78972327,init_only,6.257274735997921,26.813594999999992,2.3864049999999963
109.064,0.8969999999999914,254475.37454710572,000007.jpg,4.478740656197932,init,3364559.214718537,init_only,4.478740656197932,28.733735999999993,0.46626399999999535
108.813,0.7169999999999987,254478.10900810472,000008.jpg,2.512043923212948,init,3364561.132706504,init_only,2.512043923212948,28.59997899999999,0.6000209999999981
107.9,0.20699999999999363,254482.4616538305,000009.jpg,3.529623677223757,init,3364563.9792714324,init_only,3.529623677223757,27.572969,1.6270309999999881
109.227,1.097999999999999,254482.3584690805,000010.jpg,1.2803382648970303,init,3364562.4662049846,init_only,1.2803382648970303,26.63083800000001,2.5691619999999773
106.494,1.7339999999999947,254479.81853938298,000011.jpg,3.203487099633923,init,3364560.08198679,init_only,3.203487099633923,29.452868999999993,0.252869000000004
