frame_index,frame_id,init_source,selected_method,refine_success,elapsed_ms,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,raw_refined_east,raw_refined_north,raw_refined_alt,raw_refined_yaw,selected_east,selected_north,selected_alt,selected_yaw,raw_delta_east_m,raw_delta_north_m,raw_delta_alt_m,applied_delta_east_m,applied_delta_north_m,applied_delta_alt_m,init_xy_error_m,raw_refined_xy_error_m,selected_xy_error_m,init_alt_error_m,raw_refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,raw_refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,raw_refined_chamfer,selected_chamfer,init_overlap,raw_refined_overlap,selected_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,failure_reason,renderer_backend_init,renderer_backend_raw_refined,renderer_backend_selected
0,000000.jpg,gt_first_pose,swap_xy_freeze_alt_refine_only,True,1525.2332759999945,254788.64145618468,3363802.653119775,88.805,29.19999999999999,254788.64145618468,3363802.653119775,88.805,29.19999999999999,254788.63548777104,3363802.6266591405,88.81745387706906,-150.80073020537063,254788.61499555118,3363802.647151361,88.805,29.199269794629373,-0.005968413635855541,-0.026460634544491768,0.012453877069049213,-0.026460634544491768,-0.005968413635855541,0.0,0.0,0.02712539662061769,0.02712539563057535,0.0,0.012453877069049213,0.0,0.0,179.9992697946294,0.000730205370615522,0.1753319352865219,0.3298218250274658,0.2584402561187744,0.9576363434410752,0.9267799622348106,0.9389314672886816,6.58418199842951e-05,8.711642779720326e-05,-2.127460781290816e-05,,prototype,prototype,prototype
1,000001.jpg,previous_frame_refine_only:000000.jpg,swap_xy_freeze_alt_refine_only,True,121.1900250000042,254789.12931911834,3363803.5260398947,88.854,29.19999999999999,254788.61499555118,3363802.647151361,88.805,29.199269794629373,254789.80974155627,3363802.3938958845,88.84217211976647,-150.80236741644453,254788.361740075,3363803.841897366,88.805,29.197632583555475,1.1947460050869267,-0.25325547670945525,0.03717211976646695,-0.25325547670945525,1.1947460050869267,0.0,1.0183190983006403,1.3208802950231238,0.8300262225002198,0.04899999999999238,0.011827880233525434,0.04899999999999238,0.000730205370615522,179.99763258355551,0.0023674164445139922,0.9663335680961609,0.9952901005744934,0.9444848299026489,0.8516911238367931,0.8398577308518254,0.8560531496062992,0.0008199837175197899,0.0010916109798320879,-0.00027162726231229795,,prototype,prototype,prototype
2,000002.jpg,previous_frame_refine_only:000001.jpg,swap_xy_freeze_alt_refine_only,True,118.26385699998809,254789.61718198095,3363804.398960034,88.934,29.19999999999999,254788.361740075,3363803.841897366,88.805,29.197632583555475,254789.81174276787,3363805.010432079,88.98663388378918,-150.81970076630284,254789.53027478838,3363805.2919000587,88.805,29.180299233697156,1.4500026928726584,1.1685347128659487,0.1816338837891749,1.1685347128659487,1.4500026928726584,0.0,1.373482142253835,0.641679017662259,0.8971592657333004,0.12899999999999068,0.05263388378918421,0.12899999999999068,0.0023674164445139922,179.98029923369717,0.019700766302833017,0.9932817220687866,0.9275305867195129,0.9232481718063354,0.8442951517187325,0.8481916918598141,0.8604635539133356,0.0010590939588534336,0.0007429838102931777,0.0003161101485602559,,prototype,prototype,prototype
3,000003.jpg,previous_frame_refine_only:000002.jpg,swap_xy_freeze_alt_refine_only,True,129.713124999995,254790.10503515808,3363805.2718804055,88.865,29.19999999999999,254789.53027478838,3363805.2919000587,88.805,29.180299233697156,254789.7704394358,3363806.168330743,89.0944189215079,-150.85159860806215,254790.40670547323,3363805.532064706,88.805,29.148401391937853,0.2401646474027075,0.876430684234947,0.28941892150788817,0.876430684234947,0.2401646474027075,0.0,0.5751089193255541,0.9568581425471182,0.39837275173032444,0.05999999999998806,0.2294189215079001,0.05999999999998806,0.019700766302833017,179.94840139193786,0.05159860806213601,0.8959777355194092,0.9058186411857605,0.8355097770690918,0.856266939174479,0.8763717954414182,0.8563780157284401,0.0007026308351972451,0.0007305464629704753,-2.7915627773230202e-05,,prototype,prototype,prototype
4,000004.jpg,previous_frame_refine_only:000003.jpg,swap_xy_freeze_alt_refine_only,True,182.75241099999562,254790.59289787602,3363806.144800578,88.799,29.19999999999999,254790.40670547323,3363805.532064706,88.805,29.148401391937853,254791.09306519825,3363805.5454860865,89.22309271339327,-150.91628305083916,254790.42012685366,3363806.2184244306,88.805,29.083716949160845,0.6863597250194289,0.013421380426734686,0.41809271339326415,0.013421380426734686,0.6863597250194289,0.0,0.640400545997771,0.7806056684812402,0.18780388140414558,0.006000000000000227,0.4240927133932644,0.006000000000000227,0.05159860806213601,179.88371694916088,0.1162830508391437,0.9334339499473572,0.9257704019546509,0.799551784992218,0.8488090745632534,0.8634819862816044,0.8570667495393904,0.0007530362442291031,0.0007689530805995067,-1.591683637040364e-05,,prototype,prototype,prototype
5,000005.jpg,previous_frame_refine_only:000004.jpg,swap_xy_freeze_alt_refine_only,True,127.55459300001348,254791.0807605194,3363807.017720768,88.816,29.19999999999999,254790.42012685366,3363806.2184244306,88.805,29.083716949160845,254791.62344360974,3363806.658027437,88.91650462243706,-151.01560998819426,254790.85972986068,3363807.421741187,88.805,28.984390011805743,1.2033167560875881,0.43960300646722317,0.11150462243705306,0.43960300646722317,1.2033167560875881,0.0,1.036972263701247,0.6510639208563022,0.46052909893515526,0.01099999999999568,0.10050462243705738,0.01099999999999568,0.1162830508391437,179.78439001180573,0.21560998819424526,0.9496496915817261,0.8901969194412231,0.8720149397850037,0.8620208287170397,0.8667405273653889,0.8615776645247064,0.0007810265621325622,0.0007496693093950549,3.1357252737507224e-05,,prototype,prototype,prototype
6,000006.jpg,previous_frame_refine_only:000005.jpg,swap_xy_freeze_alt_refine_only,True,124.82638300002691,254791.5686137308,3363807.8906522817,88.832,29.19999999999999,254790.85972986068,3363807.421741187,88.805,28.984390011805743,254791.83044320546,3363807.7557275896,89.19944569282234,-151.22578487390396,254791.1937162632,3363808.3924545315,88.805,28.77421512609604,0.970713344780961,0.33398640248924494,0.39444569282233033,0.33398640248924494,0.970713344780961,0.0,0.8499376188654088,0.2945493954062369,0.6263813607846497,0.026999999999986812,0.3674456928223435,0.026999999999986812,0.21560998819424526,179.57421512609608,0.42578487390395026,0.9395664930343628,0.9573410749435425,0.9574430584907532,0.8544889594076425,0.8488033849001719,0.8484728282427608,0.00078292575199157,0.0009052469589126607,-0.00012232120692109072,,prototype,prototype,prototype
7,000007.jpg,previous_frame_refine_only:000006.jpg,swap_xy_freeze_alt_refine_only,True,118.37285100000372,254792.05647623076,3363808.7635725066,88.842,29.19999999999999,254791.1937162632,3363808.3924545315,88.805,28.77421512609604,254792.03620125365,3363809.0170500595,89.10693526174873,-151.6500159492962,254791.818311791,3363809.234939521,88.805,28.349984050703796,0.8424849904549774,0.6245955280028284,0.3019352617487243,0.6245955280028284,0.8424849904549774,0.0,0.9391929051462795,0.2542871300792873,0.528118512075358,0.03699999999999193,0.2649352617487324,0.03699999999999193,0.42578487390395026,179.14998405070378,0.8500159492961927,0.9672276973724365,1.0355992317199707,1.037534475326538,0.8403730115194734,0.8168294020844762,0.8136697750959956,0.0010609352126872789,0.0015403140957156818,-0.0004793788830284029,,prototype,prototype,prototype
8,000008.jpg,previous_frame_refine_only:000007.jpg,swap_xy_freeze_alt_refine_only,True,127.3382500000082,254792.54433865723,3363809.636492751,88.836,29.19999999999999,254791.818311791,3363809.234939521,88.805,28.349984050703796,254792.68388606125,3363809.7417557696,88.8536289287731,-152.49922457163532,254792.32512804033,3363810.100513791,88.805,27.500775428364676,0.865574270254001,0.50681624840945,0.04862892877309832,0.50681624840945,0.865574270254001,0.0,0.829674639201916,0.17479639880474754,0.5131947196140395,0.0309999999999917,0.017628928773106622,0.0309999999999917,0.8500159492961927,178.30077542836466,1.6992245716353125,1.0456442832946777,1.1787927150726318,1.1779242753982544,0.8137994560926397,0.7721291341345732,0.7675453987191859,0.0016188217365803819,0.0026919557712972164,-0.0010731340347168346,,prototype,prototype,prototype
9,000009.jpg,previous_frame_refine_only:000008.jpg,swap_xy_freeze_alt_refine_only,True,131.66865900001312,254793.0321914019,3363810.5094132307,88.871,29.19999999999999,254792.32512804033,3363810.100513791,88.805,27.500775428364676,254793.05615057927,3363810.282236557,88.8788308436051,-154.20173890393946,254792.50685080636,3363810.83153633,88.805,25.798261096060543,0.7310225389373954,0.18172276578843594,0.07383084360509429,0.18172276578843594,0.7310225389373954,0.0,0.8167847628911604,0.22843660665142954,0.6162353708712195,0.06599999999998829,0.007830843605105997,0.06599999999998829,1.6992245716353125,176.59826109606058,3.401738903939446,1.1819018125534058,1.329758644104004,1.3182638883590698,0.765960244581297,0.7363737973657104,0.7377983300094239,0.002637066955988606,0.004546892906849583,-0.0019098259508609767,,prototype,prototype,prototype
