frame_index,frame_id,init_source,selected_method,yaw_policy,yaw_pred,yaw_obs_corrected,yaw_obs_delta_deg,accepted_yaw_delta_deg,yaw_obs_trusted,selected_yaw_source,refine_success,elapsed_ms,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,raw_refined_east,raw_refined_north,raw_refined_alt,raw_refined_yaw,selected_east,selected_north,selected_alt,selected_yaw,raw_delta_east_m,raw_delta_north_m,raw_delta_alt_m,applied_delta_east_m,applied_delta_north_m,applied_delta_alt_m,init_xy_error_m,raw_refined_xy_error_m,selected_xy_error_m,init_alt_error_m,raw_refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,raw_refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,raw_refined_chamfer,selected_chamfer,init_overlap,raw_refined_overlap,selected_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,failure_reason,candidate_source,candidate_yaw,candidate_yaw_delta_deg,chamfer_norm,edge_chamfer,edge_overlap,feature_loss,feature_norm,grid_offset_deg,render_failed,score,selected
0,000000.jpg,,,,29.19999999999999,29.199270744498136,-0.0007292555018523217,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prediction,29.19999999999999,0.0,1.4768338496796833,0.2589361369609833,0.9389981117405309,7.193638036066356e-05,1.0925636681644306,,False,1.81097665498026,True
0,000000.jpg,,,,29.19999999999999,29.199270744498136,-0.0007292555018523217,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,26.19999999999999,-3.0,7.586812095227338,1.3302104473114014,0.7321559480173275,0.004263307200744748,64.75074962632644,-3.0,False,24.13234355379162,False
0,000000.jpg,,,,29.19999999999999,29.199270744498136,-0.0007292555018523217,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,27.19999999999999,-2.0,6.9605891456186795,1.2204135656356812,0.7607019882261469,0.003091110692669948,46.94752808180658,-2.0,False,18.996769177844175,False
0,000000.jpg,,,,29.19999999999999,29.199270744498136,-0.0007292555018523217,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,28.19999999999999,-1.0,6.091647121484895,1.068060278892517,0.8017105409308009,0.0017378591874148697,26.394458534551323,-1.0,False,12.918551214191924,False
0,000000.jpg,,,,29.19999999999999,29.199270744498136,-0.0007292555018523217,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,28.69999999999999,-0.5,5.532034593293218,0.9699423313140869,0.8446962123736532,0.0009921537906241913,15.068747960807348,-0.5,False,9.469525371121403,False
0,000000.jpg,,,,29.19999999999999,29.199270744498136,-0.0007292555018523217,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,29.69999999999999,0.5,5.480029919277273,0.9608242511749268,0.8482727979562368,0.000985977550347646,14.974943745218859,0.5,False,9.39049305762575,False
0,000000.jpg,,,,29.19999999999999,29.199270744498136,-0.0007292555018523217,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,30.19999999999999,1.0,6.141750097545309,1.0768449306488037,0.8015328223925359,0.001777735344755153,27.00009424373729,1.0,False,13.120240836087094,False
0,000000.jpg,,,,29.19999999999999,29.199270744498136,-0.0007292555018523217,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,31.19999999999999,2.0,7.006524295984635,1.2284674644470215,0.7536598911473953,0.0030977613059803843,47.048537034961626,2.0,False,19.074998663577645,False
0,000000.jpg,,,,29.19999999999999,29.199270744498136,-0.0007292555018523217,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,32.19999999999999,3.0,7.502840946031841,1.3154876232147217,0.7392646895479285,0.004318777238950133,65.59322388081418,3.0,False,24.251882226687457,False
0,000000.jpg,,,,29.19999999999999,29.199270744498136,-0.0007292555018523217,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clamped_raw_observation,29.199270744498136,-0.0007292555018523217,1.4739688944561884,0.25843381881713867,0.9388648228368321,7.424484162280957e-05,1.1276243828089625,,False,1.8170320449866524,False
1,000001.jpg,,,,29.19999999999999,29.199218081502295,-0.0007819184976938232,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prediction,29.19999999999999,0.0,0.9771690214924472,0.9455859065055847,0.8547780959198282,0.0008291318760408709,1.0133155869477253,,False,1.3757198223095504,True
1,000001.jpg,,,,29.19999999999999,29.199218081502295,-0.0007819184976938232,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,26.19999999999999,-3.0,1.3397634080874488,1.2964608669281006,0.7416562276306371,0.0042585871027161675,5.204591470011376,-3.0,False,2.989255047959656,False
1,000001.jpg,,,,29.19999999999999,29.199218081502295,-0.0007819184976938232,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grid,27.19999999999999,-2.0,1.2400407047532427,1.1999613046646118,0.7633097709377237,0.0030987391558786235,3.787094402317086,-2.0,False,2.4835045343947906,False
