frame_id,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,refined_east,refined_north,refined_alt,refined_yaw,selected_method,init_xy_error_m,refined_xy_error_m,selected_xy_error_m,init_alt_error_m,refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,refined_chamfer,gt_chamfer,init_overlap,refined_overlap,gt_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,safe_gate_accepted,refine_success,renderer_backend_init,renderer_backend_refined,renderer_backend_gt,alt,chamfer,east,final_gate_pass,method,north,overlap,pose_gate_pass,pose_gate_reason,score,selected,temporal_gate_pass,temporal_gate_reason,visual_gate_pass,visual_gate_reason,xy_error_m,yaw,yaw_error_deg
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18,0.9393740892410278,254476.53949200793,True,init,3364557.073594403,0.8440766706711373,True,disabled,1.1559233293288627,True,True,disabled,True,init,4.08052824670161,28.179385999999994,1.0206139999999948
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.36915893107653,0.9935206770896912,254472.73834149248,False,raw_refined_full,3364558.955077149,0.8284054436893726,False,pose_yaw_jump,5.053504253103558,False,True,no_prediction,True,ok,7.0149622050348865,-152.84034891620678,177.95965108379323
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.36915893107653,0.9902521967887878,254472.73834149248,True,refined_corrected_yaw,3364558.955077149,0.8280826953075971,True,ok,1.4623224632361125,False,True,no_prediction,True,ok,7.0149622050348865,27.15965108379322,2.040348916206767
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18,0.9902597665786743,254472.73834149248,True,refined_freeze_alt_corrected_yaw,3364558.95507715,0.8280826953075971,True,ok,1.458547342968946,False,True,no_prediction,True,ok,7.0149622058262455,27.15965108379322,2.040348916206767
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18,0.9782933592796326,254472.73834149248,True,refined_freeze_alt_init_yaw,3364558.95507715,0.8291047318498861,True,ok,1.4243919053470409,False,True,no_prediction,True,ok,7.0149622058262455,28.179385999999994,1.0206139999999948
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8,0.8673178553581238,254476.03086971297,True,init,3364552.285125038,0.8922004824443849,True,disabled,1.4133902030161314,True,True,disabled,True,init,1.8172116355129764,29.087871000000007,0.11212899999998172
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.97392980568111,0.8402853012084961,254477.6993283572,False,raw_refined_full,3364551.947325091,0.8838917180380595,False,pose_yaw_jump,8.66680243503956,False,False,temporal_xy,True,ok,2.070298313125336,-151.02273004959778,179.77726995040223
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.97392980568111,0.836393415927887,254477.6993283572,False,refined_corrected_yaw,3364551.947325091,0.8867863843473599,True,ok,1.4861576324474954,False,False,temporal_xy,True,ok,2.070298313125336,28.977269950402217,0.22273004959777154
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8,0.836393415927887,254477.6993283584,False,refined_freeze_alt_corrected_yaw,3364551.947325091,0.8867863843473599,True,ok,1.482679036398991,False,False,temporal_xy,True,ok,2.0702983135717656,28.977269950402217,0.22273004959777154
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8,0.8278946876525879,254477.6993283584,False,refined_freeze_alt_init_yaw,3364551.947325091,0.8863754132046815,True,ok,1.4732911451951887,False,False,temporal_xy,True,ok,2.0702983135717656,29.087871000000007,0.11212899999998172
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.45484400000001,0.9381085634231567,254477.02735200932,False,temporal_predicted,3364557.946516403,0.8415974269632807,True,ok,1.5587103975841454,False,True,ok,False,visual_overlap_worse,4.080532679852053,28.179385999999994,1.0206139999999948
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.546,0.9503520727157593,254479.65329464382,True,init,3364549.1982149333,0.8331758118301621,True,disabled,1.4209550639293682,False,True,disabled,True,init,5.977795975003348,29.007136000000003,0.19286399999998594
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7649200502783,0.9863058924674988,254482.84227483807,False,raw_refined_full,3364544.2231727913,0.8256504449239439,False,pose_yaw_jump,9.283604534921396,False,False,temporal_xy,True,ok,11.835904638816562,-151.18419491381457,179.61580508618545
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.7649200502783,0.988601803779602,254482.84227483807,False,refined_corrected_yaw,3364544.2231727913,0.8232965386878756,True,ok,2.073375981091729,False,False,temporal_xy,True,ok,11.835904638816562,28.815805086185435,0.38419491381455373
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.546,0.9886091947555542,254482.84227483807,False,refined_freeze_alt_corrected_yaw,3364544.223172792,0.8232965386878756,True,ok,2.06900535714003,False,False,temporal_xy,True,ok,11.83590463840279,28.815805086185435,0.38419491381455373
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.546,0.9964267611503601,254482.84227483807,False,refined_freeze_alt_init_yaw,3364544.223172792,0.8214062806498208,True,ok,2.0714683473156805,False,False,temporal_xy,True,ok,11.83590463840279,29.007136000000003,0.19286399999998594
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.548579,0.8610031604766846,254476.51872971238,True,temporal_predicted,3364553.158047038,0.893414412325909,True,ok,1.2866482397031056,True,True,ok,True,ok,1.817208970187993,29.087871000000007,0.11212899999998172
