frame_id,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,refined_east,refined_north,refined_alt,refined_yaw,selected_method,init_xy_error_m,refined_xy_error_m,selected_xy_error_m,init_alt_error_m,refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,refined_chamfer,gt_chamfer,init_overlap,refined_overlap,gt_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,safe_gate_accepted,refine_success,renderer_backend_init,renderer_backend_refined,renderer_backend_gt,alt,chamfer,east,final_gate_pass,method,north,overlap,pose_gate_pass,pose_gate_reason,score,selectable,selected,temporal_gate_pass,temporal_gate_reason,visual_gate_pass,visual_gate_reason,xy_error_m,yaw,yaw_error_deg
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18,0.9393740892410278,254476.53949200793,True,init,3364557.073594403,0.8440766706711373,True,disabled,1.1559233293288627,True,True,True,disabled,True,init,4.08052824670161,28.179385999999994,1.0206139999999948
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.36907129827887,0.9932422041893005,254472.73829204368,False,raw_refined_full,3364558.955051914,0.8285488874146062,False,pose_yaw_jump,5.05306448358032,True,False,True,no_prediction,True,ok,7.014966834051118,-152.8403499264502,177.95965007354982
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.36907129827887,0.9902956485748291,254472.73829204368,True,refined_corrected_yaw,3364558.955051914,0.8280109734449803,True,ok,1.4624403648897517,True,False,True,no_prediction,True,ok,7.014966834051118,27.159650073549813,2.040349926450176
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18,0.9902956485748291,254472.73829204368,True,refined_freeze_alt_corrected_yaw,3364558.955051914,0.8280109734449803,True,ok,1.4586589389241744,True,False,True,no_prediction,True,ok,7.014966834051118,27.159650073549813,2.040349926450176
000000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18,0.9786387085914612,254472.73829204368,True,refined_freeze_alt_init_yaw,3364558.955051914,0.8288716357963817,True,ok,1.4249942951985635,True,False,True,no_prediction,True,ok,7.014966834051118,28.179385999999994,1.0206139999999948
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.45484400000001,0.9381085634231567,254477.02735200932,True,init,3364557.946516403,0.8415974269632807,True,disabled,1.1584025730367193,True,True,True,disabled,True,init,4.080532679852053,28.179385999999994,1.0206139999999948
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.58081671688706,0.9945999383926392,254473.12654658468,False,raw_refined_full,3364560.0478383475,0.8259805235414992,False,pose_yaw_jump,8.869331368058313,True,False,False,temporal_xy,True,ok,7.254372320875632,-152.84255871190769,177.95744128809235
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.58081671688706,0.9867740869522095,254473.12654658468,False,refined_corrected_yaw,3364560.0478383475,0.8282497989815063,True,ok,1.7101019483503546,True,False,False,temporal_xy,True,ok,7.254372320875632,27.157441288092315,2.042558711907674
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.45484400000001,0.9867740869522095,254473.12654658468,False,refined_freeze_alt_corrected_yaw,3364560.0478383475,0.8282497989815063,True,ok,1.7075824940126134,True,False,False,temporal_xy,True,ok,7.254372320875632,27.157441288092315,2.042558711907674
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.45484400000001,0.9773126840591431,254473.12654658468,False,refined_freeze_alt_init_yaw,3364560.0478383475,0.8302331814526936,True,ok,1.6546357068987536,True,False,False,temporal_xy,True,ok,7.254372320875632,28.179385999999994,1.0206139999999948
000001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.45484400000001,0.9381085634231567,254477.02735200932,True,temporal_predicted,3364557.946516403,0.8415974269632807,True,ok,1.1584025730367193,False,False,True,ok,True,ok,4.080532679852053,28.179385999999994,1.0206139999999948
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.20342300000002,0.9376869797706604,254477.51521200893,True,init,3364558.819438402,0.8410221659503896,True,disabled,1.1589778340496104,True,True,True,disabled,True,init,4.080537070047708,28.179385999999994,1.0206139999999948
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.12972958385944,0.984089732170105,254473.9361640978,False,raw_refined_full,3364560.785079648,0.8282718405050199,False,pose_yaw_jump,8.818504508344954,True,False,False,temporal_xy,True,ok,6.973273449011801,-152.83885487941532,177.96114512058466
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.12972958385944,0.9822609424591064,254473.9361640978,False,refined_corrected_yaw,3364560.785079648,0.8281826773900173,True,ok,1.6698867899659429,True,False,False,temporal_xy,True,ok,6.973273449011801,27.161145120584678,2.038854879415311
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.20342300000002,0.9822609424591064,254473.9361640978,False,refined_freeze_alt_corrected_yaw,3364560.7850796473,0.8281826773900173,True,ok,1.6684129216207149,True,False,False,temporal_xy,True,ok,6.9732734486081345,27.161145120584678,2.038854879415311
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.20342300000002,0.9661078453063965,254473.9361640978,False,refined_freeze_alt_init_yaw,3364560.7850796473,0.8323555111721384,True,ok,1.6062839181134685,True,False,False,temporal_xy,True,ok,6.9732734486081345,28.179385999999994,1.0206139999999948
000002.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.20342300000002,0.9376869797706604,254477.51521200893,True,temporal_predicted,3364558.819438402,0.8410221659503896,True,ok,1.1589778340496104,False,False,True,ok,True,ok,4.080537070047708,28.179385999999994,1.0206139999999948
000003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76070200000001,0.9358202815055847,254478.00307200936,True,init,3364559.692360401,0.8423341985142755,True,disabled,1.1576658014857246,True,True,True,disabled,True,init,4.080530355171533,28.179385999999994,1.0206139999999948
000003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.68412367906421,0.9781869053840637,254474.3563601642,False,raw_refined_full,3364561.7095512357,0.8296249888123154,False,pose_yaw_jump,8.821389928418476,True,False,False,temporal_xy,True,ok,7.051765926646319,-152.8363800083017,177.96361999169835
000003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.68412367906421,0.9749197363853455,254474.3563601642,False,refined_corrected_yaw,3364561.7095512357,0.830394701512575,True,ok,1.6702925692169344,True,False,False,temporal_xy,True,ok,7.051765926646319,27.16361999169831,2.036380008301677
000003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76070200000001,0.9749197363853455,254474.3563601642,False,refined_freeze_alt_corrected_yaw,3364561.7095512357,0.830394701512575,True,ok,1.6687610027982185,True,False,False,temporal_xy,True,ok,7.051765926646319,27.16361999169831,2.036380008301677
