frame_index,frame_id,init_source,selected_method,yaw_policy,yaw_pred,yaw_obs_corrected,yaw_obs_delta_deg,accepted_yaw_delta_deg,yaw_obs_trusted,selected_yaw_source,refine_success,elapsed_ms,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,raw_refined_east,raw_refined_north,raw_refined_alt,raw_refined_yaw,selected_east,selected_north,selected_alt,selected_yaw,raw_delta_east_m,raw_delta_north_m,raw_delta_alt_m,applied_delta_east_m,applied_delta_north_m,applied_delta_alt_m,init_xy_error_m,raw_refined_xy_error_m,selected_xy_error_m,init_alt_error_m,raw_refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,raw_refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,raw_refined_chamfer,selected_chamfer,init_overlap,raw_refined_overlap,selected_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,failure_reason,renderer_backend_init,renderer_backend_raw_refined,renderer_backend_selected,selected_yaw_score
0,000000.jpg,init_noisy_first_pose,swap_xy_freeze_alt_constrained_yaw,constrained_search,28.179385999999994,27.1596510794422,-1.019734920557795,0.5,True,grid,True,2720.3637190000054,254476.43692124507,3364552.994355502,109.956,29.19999999999999,254476.53949200793,3364557.073594403,111.18,28.179385999999994,254472.9998730773,3364559.331894172,111.17485393956304,-152.8403489205578,254478.79779177706,3364553.5339754717,111.18,28.679385999999994,-3.5396189306338783,2.2582997689023614,-0.005146060436970856,2.2582997689023614,-3.5396189306338783,0.0,4.08052824670161,7.209555915522166,2.421755433667737,1.2240000000000038,1.218853939563033,1.2240000000000038,1.0206139999999948,177.9596510794422,0.5206139999999948,0.9393740892410278,1.0019103288650513,0.8531754016876221,0.8440766706711373,0.8245503935737211,0.8744867404206488,0.003155911690555513,0.005032685119658709,-0.0018767734291031957,,prototype,prototype,prototype,1.1858247921068694
1,000001.jpg,previous_frame_refine_only:000000.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,28.679385999999994,28.157206489880025,-0.5221795101199689,0.5,True,grid,True,126.97220100000095,254476.92477416995,3364553.8672732455,110.231,29.19999999999999,254478.79779177706,3364553.5339754717,111.18,28.679385999999994,254477.97023074786,3364551.9853303367,111.08149895723909,-151.84279351011998,254477.24914664205,3364552.706414442,111.18,29.179385999999994,-0.8275610292039346,-1.5486451350152493,-0.09850104276091542,-1.5486451350152493,-0.8275610292039346,0.0,1.9024411587542298,2.1528326846427808,1.2053259568065422,0.9490000000000123,0.8504989572390969,0.9490000000000123,0.5206139999999948,178.95720648988004,0.020613999999994803,0.8065437078475952,0.8810154795646667,0.7475108504295349,0.8951308853747878,0.8645760743321719,0.9472706155632985,0.0014232304723312457,0.0024223998577023544,-0.0009991693853711088,,prototype,prototype,prototype,1.1207006584575043
2,000002.jpg,previous_frame_refine_only:000001.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.179385999999994,29.157248089412747,-0.022137910587247234,-0.022137910587247234,True,clamped_raw_observation,True,123.20960200000286,254477.4126366352,3364554.740190791,109.979,29.19999999999999,254477.24914664205,3364552.706414442,111.18,29.179385999999994,254479.11085401985,3364551.9202212323,110.96156706102192,-150.84275191058725,254476.4629534338,3364554.5681218193,111.18,29.157248089412747,1.8617073778004851,-0.7861932097002864,-0.2184329389780828,-0.7861932097002864,1.8617073778004851,0.0,2.040337034732703,3.2918339261011407,0.9651455403499234,1.2010000000000076,0.9825670610219248,1.2010000000000076,0.020613999999994803,179.95724808941276,0.04275191058724204,0.8901051878929138,0.9151631593704224,0.6860306859016418,0.8760097722774043,0.8541469764787702,0.9580220054567826,0.0014312286900045972,0.0022870915515037873,-0.0008558628614991901,,prototype,prototype,prototype,0.9043419917963971
3,000003.jpg,previous_frame_refine_only:000002.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.157248089412747,29.116844791142938,-0.040403298269808374,-0.040403298269808374,True,clamped_raw_observation,True,167.899833000007,254477.90049927725,3364555.6131194406,109.536,29.19999999999999,254476.4629534338,3364554.5681218193,111.18,29.157248089412747,254478.30701604637,3364555.283891205,111.01336564682424,-150.88315520885706,254477.17872281978,3364556.412184432,111.18,29.116844791142938,1.8440626125666313,0.7157693859189749,-0.16663435317576614,0.7157693859189749,1.8440626125666313,0.0,1.7772332656703103,0.5231129080438505,1.076785083130839,1.6440000000000055,1.4773656468242393,1.6440000000000055,0.04275191058724204,179.91684479114292,0.08315520885705041,0.7984833121299744,0.5638790130615234,0.6734459400177002,0.8913989080819833,0.9589725230466303,0.9545511500939765,0.0010808897107684363,0.0003800870617851615,0.0007008026489832748,,prototype,prototype,prototype,1.023930061819781
4,000004.jpg,previous_frame_refine_only:000003.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.116844791142938,29.037925587471904,-0.07891920367103467,-0.07891920367103467,True,clamped_raw_observation,True,152.4722309999902,254478.38835198412,3364556.486037237,109.094,29.19999999999999,254477.17872281978,3364556.412184432,111.18,29.116844791142938,254477.89998598755,3364557.5513771754,111.15843909326941,-150.9620744125281,254478.31791556336,3364557.1334476,111.18,29.037925587471904,0.721263167768484,1.1391927432268858,-0.021560906730599072,1.1391927432268858,0.721263167768484,0.0,1.2118815750806144,1.171943057782043,0.6512307328716205,2.0860000000000127,2.0644390932694137,2.0860000000000127,0.08315520885705041,179.8379255874719,0.16207441252808508,0.7515151500701904,0.7143216133117676,0.579637348651886,0.9521319173915364,0.9374566412295213,0.9608125655940374,0.0006974204249369601,0.0007617910644815614,-6.437063954460131e-05,,prototype,prototype,prototype,0.9593744890406233
5,000005.jpg,previous_frame_refine_only:000004.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.037925587471904,28.873787418233803,-0.16413816923810032,0.0,True,prediction,True,171.8932880000068,254478.87621448273,3364557.358965922,108.652,29.19999999999999,254478.31791556336,3364557.1334476,111.18,29.037925587471904,254478.70589613257,3364557.4132457334,110.91160473506898,-151.1262125817662,254478.59771369654,3364557.5214281683,111.18,29.037925587471904,0.3879805692122318,0.2797981332987547,-0.26839526493102994,0.2797981332987547,0.3879805692122318,0.0,0.6021263961789092,0.17875860345458297,0.3224231215849214,2.528000000000006,2.259604735068976,2.528000000000006,0.16207441252808508,179.67378741823381,0.16207441252808508,0.5989370346069336,0.6528996229171753,0.5113009214401245,0.9596500624888413,0.9586323870737369,0.9591144438493127,0.0004334909317549318,0.0005428741424111649,-0.00010938321065623313,,prototype,prototype,prototype,1.0812988360791607
6,000006.jpg,previous_frame_refine_only:000005.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.037925587471904,28.87525098720397,-0.162674600267934,0.0,True,prediction,True,127.53899099999444,254479.36407665766,3364558.231883538,108.413,29.19999999999999,254478.59771369654,3364557.5214281683,111.18,29.037925587471904,254479.87607515464,3364558.0058393506,110.91062225867063,-151.12474901279603,254479.08212487915,3364558.799789626,111.18,29.037925587471904,1.2783614580985159,0.4844111823476851,-0.26937774132937875,0.4844111823476851,1.2783614580985159,0.0,1.0450162776096226,0.5596770814770842,0.6340458425183534,2.76700000000001,2.4976222586706314,2.76700000000001,0.16207441252808508,179.67525098720398,0.16207441252808508,0.7280746698379517,0.6555594801902771,0.5649318099021912,0.9473497165804858,0.9499795653641807,0.9584910354141123,0.0006911105495722344,0.0006551218296711644,3.598871990107e-05,,prototype,prototype,prototype,0.9659160061166123
7,000007.jpg,previous_frame_refine_only:000006.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.037925587471904,28.877031532291454,-0.1608940551804494,0.0,True,prediction,True,197.30137900000955,254479.85193876142,3364559.104801173,108.167,29.19999999999999,254479.08212487915,3364558.799789626,111.18,29.037925587471904,254479.90288874522,3364559.3075794275,111.11730144452304,-151.12296846770855,254479.58991468058,3364559.620553492,111.18,29.037925587471904,0.820763866067864,0.5077898013405502,-0.06269855547697034,0.5077898013405502,0.820763866067864,0.0,0.8280371108625432,0.20908113592965671,0.5784955261292923,3.0130000000000052,2.950301444523035,3.0130000000000052,0.16207441252808508,179.6770315322915,0.16207441252808508,0.6689808368682861,0.6460063457489014,0.5498270392417908,0.9540162774239207,0.957625619249823,0.9598018400566172,0.0005651718432394167,0.000533290576034536,3.1881267204880714e-05,,prototype,prototype,prototype,1.0328582750348851
8,000008.jpg,previous_frame_refine_only:000007.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.037925587471904,28.874310670187327,-0.16361491728457622,0.0,True,prediction,True,127.13378699999112,254480.3397914293,3364559.977730127,108.096,29.19999999999999,254479.58991468058,3364559.620553492,111.18,29.037925587471904,254480.28335517205,3364560.303674587,111.3089598538354,-151.12568932981267,254480.27303577508,3364560.3139939834,111.18,29.037925587471904,0.693440491479123,0.6831210949458182,0.1289598538353971,0.6831210949458182,0.693440491479123,0.0,0.830596344088125,0.3307942595228917,0.3428260469668521,3.084000000000003,3.2129598538354003,3.084000000000003,0.16207441252808508,179.6743106701873,0.16207441252808508,0.662042498588562,0.6431084275245667,0.510597825050354,0.955312422294057,0.9552413768605023,0.9604987389435544,0.0005492347554536536,0.0005622159078484401,-1.2981152394786477e-05,,prototype,prototype,prototype,0.9641063037378068
9,000009.jpg,previous_frame_refine_only:000008.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.037925587471904,28.872572171104935,-0.16535341636696899,0.0,True,prediction,True,136.2550899999917,254480.82765338855,3364560.850647796,108.107,29.19999999999999,254480.27303577508,3364560.3139939834,111.18,29.037925587471904,254481.03700441224,3364560.8897111737,110.96759396418929,-151.12742782889507,254480.84875296554,3364561.0779626206,111.18,29.037925587471904,0.7639686371549033,0.5757171902805567,-0.21240603581071582,0.5757171902805567,0.7639686371549033,0.0,0.7717499670540734,0.21296431297807641,0.22829196586682637,3.0730000000000075,2.8605939641892917,3.0730000000000075,0.16207441252808508,179.67257217110495,0.16207441252808508,0.6614993214607239,0.6385357975959778,0.5064932703971863,0.9534506184821161,0.9603677365848494,0.9590090169575268,0.0005350703868316486,0.0005439963327565541,-8.925945924905475e-06,,prototype,prototype,prototype,0.9567926608473808
10,000010.jpg,previous_frame_refine_only:000009.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.037925587471904,28.875479430979453,-0.1624461564924502,0.0,True,prediction,True,121.85309200000916,254481.3155152743,3364561.723565482,108.129,29.19999999999999,254480.84875296554,3364561.0779626206,111.18,29.037925587471904,254481.8003847309,3364561.4595315414,111.00865510758013,-151.12452056902055,254481.23032188683,3364562.029594386,111.18,29.037925587471904,0.9516317653469741,0.3815689207985997,-0.1713448924198815,0.3815689207985997,0.9516317653469741,0.0,0.7966618527021158,0.55209809973564,0.31766586739373953,3.051000000000002,2.8796551075801204,3.051000000000002,0.16207441252808508,179.67547943097946,0.16207441252808508,0.6648837327957153,0.6517249941825867,0.5123818516731262,0.9571115664523423,0.9505935137426694,0.9592665865894157,0.0005449651362141594,0.0006379718640043089,-9.300672779014951e-05,,prototype,prototype,prototype,0.9659043954325063
11,000011.jpg,previous_frame_refine_only:000010.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.037925587471904,28.882794925760408,-0.15513066171149603,0.0,True,prediction,True,120.7489009999847,254481.8033773379,3364562.5964942747,108.228,29.19999999999999,254481.23032188683,3364562.029594386,111.18,29.037925587471904,254482.01905612517,3364562.719199556,111.101990330033,-151.1172050742396,254481.9199270562,3364562.8183286237,111.18,29.037925587471904,0.788734238332836,0.689605169929564,-0.07800966996700254,0.689605169929564,0.788734238332836,0.0,0.806081902653765,0.24814093842504772,0.25058793910661314,2.9520000000000124,2.87399033003301,2.9520000000000124,0.16207441252808508,179.6827949257604,0.16207441252808508,0.6710753440856934,0.6469703912734985,0.5082326531410217,0.9540110161711743,0.9584598545300473,0.9594661393969353,0.0005617487283113102,0.0005652236092525224,-3.4748809412121773e-06,,prototype,prototype,prototype,0.9476622765430277
12,000012.jpg,previous_frame_refine_only:000011.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.037925587471904,28.87210261276107,-0.16582297471083507,0.0,True,prediction,True,128.86290099999087,254482.2912294676,3364563.4694122127,108.417,29.19999999999999,254481.9199270562,3364562.8183286237,111.18,29.037925587471904,254482.62222490288,3364562.8808863307,111.17527327500284,-151.12789738723893,254481.982484763,3364563.520626471,111.18,29.037925587471904,0.7022978466702625,0.06255770707502961,-0.00472672499716964,0.06255770707502961,0.7022978466702625,0.0,0.7495167247365963,0.675218995545102,0.3129635647611685,2.7630000000000052,2.7582732750028356,2.7630000000000052,0.16207441252808508,179.67210261276108,0.16207441252808508,0.6459301114082336,0.6683259606361389,0.5121291875839233,0.9591624145906531,0.9484454174685287,0.9622521584067515,0.0005104955732046316,0.0006767762339829156,-0.00016628066077828407,,prototype,prototype,prototype,0.9948697232931034
13,000013.jpg,previous_frame_refine_only:000012.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.037925587471904,28.878234388178697,-0.1596911992932064,0.0,True,prediction,True,126.03820100000007,254482.77909138665,3364564.3423410403,108.25,29.19999999999999,254481.982484763,3364563.520626471,111.18,29.037925587471904,254483.10051409487,3364564.072317364,111.12564090266824,-151.1217656118213,254482.53417565677,3364564.638655802,111.18,29.037925587471904,1.1180293318757322,0.5516908932477236,-0.054359097331769135,0.5516908932477236,1.1180293318757322,0.0,1.1444636063812146,0.4197920235249144,0.38442964588074313,2.930000000000007,2.8756409026682377,2.930000000000007,0.16207441252808508,179.67823438817868,0.16207441252808508,0.7402870655059814,0.6413854956626892,0.5087189674377441,0.9455454288540341,0.9558605341246291,0.9612830295322877,0.000736576485602806,0.0005564713598384211,0.00018010512576438487,,prototype,prototype,prototype,0.8355807812289242
14,000014.jpg,previous_frame_refine_only:000013.jpg,swap_xy_freeze_alt_constrained_yaw,constrained_search,29.037925587471904,28.883759880518937,-0.15416570695296627,0.0,True,prediction,True,136.07400099999722,254483.26695298447,3364565.2152587976,108.18,29.19999999999999,254482.53417565677,3364564.638655802,111.18,29.037925587471904,254483.38098230536,3364565.136030259,111.3498723488301,-151.11624011948106,254483.0315501148,3364565.4854624504,111.18,29.037925587471904,0.8468066485947929,0.4973744573071599,0.16987234883009705,0.4973744573071599,0.8468066485947929,0.0,0.9324342479966272,0.1388518899534941,0.3583636770540399,3.0,3.169872348830097,3.0,0.16207441252808508,179.68375988051895,0.16207441252808508,0.6900773644447327,0.6386990547180176,0.5063940286636353,0.9529670485581527,0.9606817295073246,0.9617812932288157,0.0006279415926352764,0.0005151028356825312,0.00011283875695274515,,prototype,prototype,prototype,0.9066225805228882
