frame_id,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,refined_east,refined_north,refined_alt,refined_yaw,selected_method,init_xy_error_m,refined_xy_error_m,selected_xy_error_m,init_alt_error_m,refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,refined_chamfer,gt_chamfer,init_overlap,refined_overlap,gt_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,safe_gate_accepted,refine_success,renderer_backend_init,renderer_backend_refined,renderer_backend_gt,corrected_refined_downward_yaw,corrected_yaw_error_deg,elapsed_ms,init_pose_policy,init_source,raw_refined_yaw,raw_yaw_error_deg,renderer_fallback_gt,renderer_fallback_init,renderer_fallback_refined,selected_alt,selected_east,selected_north,selected_yaw
000000.jpg,254788.64145618468,3363802.653119775,88.805,29.19999999999999,254788.74403964714,3363806.7323579504,90.03,28.179385999999994,254785.4557817073,3363809.3156483234,90.12018285412341,-152.83841174834834,init,4.080527840675673,7.384971803186866,4.080527840675673,1.2249999999999943,1.3151828541234067,1.2249999999999943,1.0206139999999948,177.96158825165168,1.0206139999999948,1.153127908706665,1.2344903945922852,0.1753319352865219,0.7753415528157281,0.7537043207819616,0.9576363434410752,0.002659324944640199,0.004472908175860842,-0.0018135832312206426,False,True,prototype,prototype,prototype,27.161588251651665,2.0384117483483237,1846.7540139999983,first_pose_odom,first_frame_init_noisy_pose,-152.83841174834834,177.96158825165168,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',90.03,254788.74403964714,3363806.7323579504,28.179385999999994
000001.jpg,254789.12931911834,3363803.5260398947,88.854,29.19999999999999,254789.23189964707,3363807.60527995,90.078622,28.179385999999994,254786.02251548858,3363810.0876807426,90.31467925198376,-152.83939768784177,init,4.080529646204132,7.259983430503767,4.080529646204132,1.2246219999999965,1.4606792519837626,1.2246219999999965,1.0206139999999948,177.96060231215824,1.0206139999999948,1.1554040908813477,1.2458521127700806,0.1897817999124527,0.7775590551181102,0.7503802791696492,0.9533151395848246,0.0026691521052271128,0.004384124224695067,-0.0017149721194679541,False,True,prototype,prototype,prototype,27.160602312158233,2.039397687841756,133.46660400000587,first_pose_odom,first_pose_odom:000000.jpg->000001.jpg,-152.83939768784177,177.96060231215824,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',90.078622,254789.23189964707,3363807.60527995,28.179385999999994
000002.jpg,254789.61718198095,3363804.398960034,88.934,29.19999999999999,254789.71975964642,3363808.478201951,90.15881399999999,28.179385999999994,254786.4802466762,3363810.619171395,90.3513100054115,-152.84357805038206,init,4.08053143535097,6.966447622902469,4.08053143535097,1.224813999999995,1.4173100054115082,1.224813999999995,1.0206139999999948,177.95642194961795,1.0206139999999948,1.172054409980774,1.2101218700408936,0.18241669237613678,0.7699025864964729,0.760900235136043,0.9552345761952749,0.0026661482794831195,0.004223522186900179,-0.0015573739074170594,False,True,prototype,prototype,prototype,27.156421949617936,2.0435780503820524,115.73602600000754,first_pose_odom,first_pose_odom:000001.jpg->000002.jpg,-152.84357805038206,177.95642194961795,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',90.15881399999999,254789.71975964642,3363808.478201951,28.179385999999994
000003.jpg,254790.10503515808,3363805.2718804055,88.865,29.19999999999999,254790.2076196466,3363809.3511239514,90.090171,28.179385999999994,254786.4879731851,3363811.677074385,90.26286909915507,-152.8434743224872,init,4.080533235244823,7.355925994043998,4.080533235244823,1.2251710000000031,1.3978690991550735,1.2251710000000031,1.0206139999999948,177.9565256775128,1.0206139999999948,1.1429789066314697,1.2615858316421509,0.17142996191978455,0.7780912604967344,0.7485226818323188,0.9586573066157196,0.002706974007499715,0.004487857998659213,-0.0017808839911594983,False,True,prototype,prototype,prototype,27.156525677512803,2.043474322487185,117.85489999999754,first_pose_odom,first_pose_odom:000002.jpg->000003.jpg,-152.8434743224872,177.9565256775128,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',90.090171,254790.2076196466,3363809.3511239514,28.179385999999994
000004.jpg,254790.59289787602,3363806.144800578,88.799,29.19999999999999,254790.6954796462,3363810.224045951,90.023467,28.179385999999994,254787.30568249934,3363812.5593113224,90.00573513377458,-152.8655546542382,init,4.08053499358447,7.2077550614305546,4.08053499358447,1.22446699999999,1.206735133774572,1.22446699999999,1.0206139999999948,177.9344453457618,1.0206139999999948,1.136818528175354,1.2813628911972046,0.1944078803062439,0.7808608404182112,0.7470088126262514,0.9524517747341783,0.0026843392212564745,0.004366770347890754,-0.0016824311266342797,False,True,prototype,prototype,prototype,27.134445345761804,2.065554654238184,137.3318139999924,first_pose_odom,first_pose_odom:000003.jpg->000004.jpg,-152.8655546542382,177.9344453457618,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',90.023467,254790.6954796462,3363810.224045951,28.179385999999994
000005.jpg,254791.0807605194,3363807.017720768,88.816,29.19999999999999,254791.1833396466,3363811.0969679505,90.040812,28.179385999999994,254787.57594633097,3363813.9318655524,90.03255266603082,-152.83281848832863,init,4.080536735665128,7.751717267321246,4.080536735665128,1.224812,1.2165526660308217,1.224812,1.0206139999999948,177.96718151167136,1.0206139999999948,1.157449722290039,1.257514476776123,0.18427878618240356,0.7763128739197873,0.7524927985818746,0.9549302016397075,0.0026460112227747836,0.004619292526816328,-0.0019732813040415445,False,True,prototype,prototype,prototype,27.167181511671373,2.0328184883286156,119.05689100001382,first_pose_odom,first_pose_odom:000004.jpg->000005.jpg,-152.83281848832863,177.96718151167136,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',90.040812,254791.1833396466,3363811.0969679505,28.179385999999994
000006.jpg,254791.5686137308,3363807.8906522817,88.832,29.19999999999999,254791.67119964646,3363811.9698899495,90.056708,28.179385999999994,254788.21877625326,3363814.23120639,90.13709359243512,-152.849327879585,init,4.080527394938649,7.1710555378740315,4.080527394938649,1.2247080000000068,1.305093592435128,1.2247080000000068,1.0206139999999948,177.950672120415,1.0206139999999948,1.1547062397003174,1.242349624633789,0.18250134587287903,0.7795407466173035,0.7551236281898718,0.9561020758958085,0.0026230773461672166,0.004293634983090063,-0.001670557636922846,False,True,prototype,prototype,prototype,27.15067212041501,2.049327879584979,123.01868500000523,first_pose_odom,first_pose_odom:000005.jpg->000006.jpg,-152.849327879585,177.950672120415,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',90.056708,254791.67119964646,3363811.9698899495,28.179385999999994
000007.jpg,254792.05647623076,3363808.7635725066,88.842,29.19999999999999,254792.15905964706,3363812.8428119496,90.066541,28.179385999999994,254788.66513608702,3363815.0452216845,90.19861402269453,-152.84277026680775,init,4.080529106644672,7.138648637152404,4.080529106644672,1.224541000000002,1.3566140226945294,1.224541000000002,1.0206139999999948,177.95722973319226,1.0206139999999948,1.1434355974197388,1.25838303565979,0.17525389790534973,0.7766099835436094,0.7482830499177181,0.9579813494240264,0.0026186072694448135,0.004318397763806085,-0.0016997904943612716,False,True,prototype,prototype,prototype,27.157229733192253,2.042770266807736,118.8562000000104,first_pose_odom,first_pose_odom:000006.jpg->000007.jpg,-152.84277026680775,177.95722973319226,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',90.066541,254792.15905964706,3363812.8428119496,28.179385999999994
000008.jpg,254792.54433865723,3363809.636492751,88.836,29.19999999999999,254792.6469196471,3363813.715733949,90.060717,28.179385999999994,254789.1438774789,3363815.9073795183,90.30764637514949,-152.83857958769462,init,4.080530800167944,7.1335234682627515,4.080530800167944,1.2247169999999983,1.47164637514949,1.2247169999999983,1.0206139999999948,177.96142041230542,1.0206139999999948,1.1740505695343018,1.242679476737976,0.17606163024902344,0.7738178787612948,0.7533994210018423,0.9581980875515396,0.002636942624424895,0.004310938064008951,-0.0016739954395840564,False,True,prototype,prototype,prototype,27.161420412305375,2.0385795876946133,269.4193000000098,first_pose_odom,first_pose_odom:000007.jpg->000008.jpg,-152.83857958769462,177.96142041230542,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',90.060717,254792.6469196471,3363813.715733949,28.179385999999994
000009.jpg,254793.0321914019,3363810.5094132307,88.871,29.19999999999999,254793.1347796467,3363814.588655949,90.096329,28.179385999999994,254789.35917604662,3363816.941206846,90.49471146520227,-152.8338575509047,init,4.080532502460914,7.406686905014851,4.080532502460914,1.225329000000002,1.6237114652022768,1.225329000000002,1.0206139999999948,177.9661424490953,1.0206139999999948,1.1564615964889526,1.2498176097869873,0.17265617847442627,0.7746170198777094,0.7472879090052379,0.9589953757478796,0.0026061146248442433,0.004438019668062528,-0.0018319050432182844,False,True,prototype,prototype,prototype,27.166142449095304,2.033857550904685,207.4258899999677,first_pose_odom,first_pose_odom:000008.jpg->000009.jpg,-152.8338575509047,177.9661424490953,RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',RuntimeError: ModuleNotFoundError: No module named 'nvdiffrast',90.096329,254793.1347796467,3363814.588655949,28.179385999999994
