frame_id,gt_east,gt_north,gt_alt,gt_yaw,init_east,init_north,init_alt,init_yaw,refined_east,refined_north,refined_alt,refined_yaw,selected_method,init_xy_error_m,refined_xy_error_m,selected_xy_error_m,init_alt_error_m,refined_alt_error_m,selected_alt_error_m,init_yaw_error_deg,refined_yaw_error_deg,selected_yaw_error_deg,init_chamfer,refined_chamfer,gt_chamfer,init_overlap,refined_overlap,gt_overlap,feature_loss_initial,feature_loss_refined,feature_loss_drop,safe_gate_accepted,refine_success,renderer_backend_init,renderer_backend_refined,renderer_backend_gt,corrected_refined_downward_yaw,corrected_yaw_error_deg,raw_refined_yaw,raw_yaw_error_deg,selected_yaw
000000.jpg,,,,29.19999999999999,,,,28.179385999999994,,,,,init,,,,,,,,,1.0206139999999948,,,,,,,,,,,,,,,27.161588251651665,2.0384117483483237,-152.83841174834834,177.96158825165168,28.179385999999994
000001.jpg,,,,29.19999999999999,,,,28.179385999999994,,,,,init,,,,,,,,,1.0206139999999948,,,,,,,,,,,,,,,27.160602312158233,2.039397687841756,-152.83939768784177,177.96060231215824,28.179385999999994
000002.jpg,,,,29.19999999999999,,,,28.179385999999994,,,,,init,,,,,,,,,1.0206139999999948,,,,,,,,,,,,,,,27.156421949617936,2.0435780503820524,-152.84357805038206,177.95642194961795,28.179385999999994
000003.jpg,,,,29.19999999999999,,,,28.179385999999994,,,,,init,,,,,,,,,1.0206139999999948,,,,,,,,,,,,,,,27.156525677512803,2.043474322487185,-152.8434743224872,177.9565256775128,28.179385999999994
000004.jpg,,,,29.19999999999999,,,,28.179385999999994,,,,,init,,,,,,,,,1.0206139999999948,,,,,,,,,,,,,,,27.134445345761804,2.065554654238184,-152.8655546542382,177.9344453457618,28.179385999999994
000005.jpg,,,,29.19999999999999,,,,28.179385999999994,,,,,init,,,,,,,,,1.0206139999999948,,,,,,,,,,,,,,,27.167181511671373,2.0328184883286156,-152.83281848832863,177.96718151167136,28.179385999999994
000006.jpg,,,,29.19999999999999,,,,28.179385999999994,,,,,init,,,,,,,,,1.0206139999999948,,,,,,,,,,,,,,,27.15067212041501,2.049327879584979,-152.849327879585,177.950672120415,28.179385999999994
000007.jpg,,,,29.19999999999999,,,,28.179385999999994,,,,,init,,,,,,,,,1.0206139999999948,,,,,,,,,,,,,,,27.157229733192253,2.042770266807736,-152.84277026680775,177.95722973319226,28.179385999999994
000008.jpg,,,,29.19999999999999,,,,28.179385999999994,,,,,init,,,,,,,,,1.0206139999999948,,,,,,,,,,,,,,,27.161420412305375,2.0385795876946133,-152.83857958769462,177.96142041230542,28.179385999999994
000009.jpg,,,,29.19999999999999,,,,28.179385999999994,,,,,init,,,,,,,,,1.0206139999999948,,,,,,,,,,,,,,,27.166142449095304,2.033857550904685,-152.8338575509047,177.9661424490953,28.179385999999994
